PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Daryl Mitchell,Overseas,All-Rounder,"₹14,00,00,000",2024
Sameer Rizvi,Indian,Batter,"₹8,40,00,000",2024
Shardul Thakur,Indian,All-Rounder,"₹4,00,00,000",2024
Mustafizur Rahman,Overseas,Bowler,"₹2,00,00,000",2024
Rachin Ravindra,Overseas,All-Rounder,"₹1,80,00,000",2024
Avanish Rao Aravelly,Indian,Wicket-Keeper,"₹20,00,000",2024
Kumar Kushagra,Indian,Wicket-Keeper,"₹7,20,00,000",2024
Jhye Richardson,Overseas,Bowler,"₹5,00,00,000",2024
Harry Brook,Overseas,Batter,"₹4,00,00,000",2024
Sumit Kumar,Indian,All-Rounder,"₹1,00,00,000",2024
Shai Hope,Overseas,Wicket-Keeper,"₹75,00,000",2024
Tristan Stubbs,Overseas,Wicket-Keeper,"₹50,00,000",2024
Ricky Bhui,Indian,Wicket-Keeper,"₹20,00,000",2024
Swastik Chhikara,Indian,Batter,"₹20,00,000",2024
Rasikh Dar,Indian,Bowler,"₹20,00,000",2024
Spencer Johnson,Overseas,Bowler,"₹10,00,00,000",2024
Shahrukh Khan,Indian,All-Rounder,"₹7,40,00,000",2024
Umesh Yadav,Indian,Bowler,"₹5,80,00,000",2024
Robin Minz,Indian,Wicket-Keeper,"₹3,60,00,000",2024
Sushant Mishra,Indian,Bowler,"₹2,20,00,000",2024
Kartik Tyagi,Indian,Bowler,"₹60,00,000",2024
Azmatullah Omarzai,Overseas,All-Rounder,"₹50,00,000",2024
Manav Suthar,Indian,Bowler,"₹20,00,000",2024
Mitchell Starc,Overseas,Bowler,"₹24,75,00,000",2024
Mujeeb Rahman,Overseas,Bowler,"₹2,00,00,000",2024
Sherfane Rutherford,Overseas,Batter,"₹1,50,00,000",2024
Gus Atkinson,Overseas,Bowler,"₹1,00,00,000",2024
Manish Pandey,Indian,Batter,"₹50,00,000",2024
K.S. Bharat,Indian,Wicket-Keeper,"₹50,00,000",2024
Chetan Sakariya,Indian,Bowler,"₹50,00,000",2024
Angkrish Raghuvanshi,Indian,Batter,"₹20,00,000",2024
Ramandeep Singh,Indian,All-Rounder,"₹20,00,000",2024
Sakib Hussain,Indian,Bowler,"₹20,00,000",2024
Shivam Mavi,Indian,Bowler,"₹6,40,00,000",2024
M. Siddharth,Indian,Bowler,"₹2,40,00,000",2024
David Willey,Overseas,All-Rounder,"₹2,00,00,000",2024
Ashton Turner,Overseas,Batter,"₹1,00,00,000",2024
Arshin Kulkarni,Indian,All-Rounder,"₹20,00,000",2024
Mohd. Arshad Khan,Indian,All-Rounder,"₹20,00,000",2024
Gerald Coetzee,Overseas,All-Rounder,"₹5,00,00,000",2024
Nuwan Thushara,Overseas,Bowler,"₹4,80,00,000",2024
Dilshan Madushanka,Overseas,Bowler,"₹4,60,00,000",2024
Mohammad Nabi,Overseas,All-Rounder,"₹1,50,00,000",2024
Shreyas Gopal,Indian,Bowler,"₹20,00,000",2024
Shivalik Sharma,Indian,All-Rounder,"₹20,00,000",2024
Anshul Kamboj,Indian,All-Rounder,"₹20,00,000",2024
Naman Dhir,Indian,All-Rounder,"₹20,00,000",2024
Harshal Patel,Indian,All-Rounder,"₹11,75,00,000",2024
Rilee Rossouw,Overseas,Batter,"₹8,00,00,000",2024
Chris Woakes,Overseas,All-Rounder,"₹4,20,00,000",2024
Tanay Thyagarajann,Indian,All-Rounder,"₹20,00,000",2024
Vishwanath Pratap Singh,Indian,All-Rounder,"₹20,00,000",2024
Ashutosh Sharma,Indian,All-Rounder,"₹20,00,000",2024
Shashank Singh,Indian,Batter,"₹20,00,000",2024
Prince Choudhary,Indian,Bowler,"₹20,00,000",2024
Rovman Powell,Overseas,Batter,"₹7,40,00,000",2024
Shubham Dubey,Indian,Batter,"₹5,80,00,000",2024
Nandre Burger,Overseas,Bowler,"₹50,00,000",2024
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,"₹40,00,000",2024
Abid Mushtaq,Indian,All-Rounder,"₹20,00,000",2024
Alzarri Joseph,Overseas,Bowler,"₹11,50,00,000",2024
Yash Dayal,Indian,Bowler,"₹5,00,00,000",2024
Lockie Ferguson,Overseas,Bowler,"₹2,00,00,000",2024
Tom Curran,Overseas,All-Rounder,"₹1,50,00,000",2024
Saurav Chuahan,Indian,Batter,"₹20,00,000",2024
Swapnil Singh,Indian,All-Rounder,"₹20,00,000",2024
Pat Cummins,Overseas,All-Rounder,"₹20,50,00,000",2024
Travis Head,Overseas,Batter,"₹6,80,00,000",2024
Jaydev Unadkat,Indian,Bowler,"₹1,60,00,000",2024
Wanindu Hasaranga,Overseas,All-Rounder,"₹1,50,00,000",2024
Jhathavedh Subramanyan,Indian,Bowler,"₹20,00,000",2024
Akash Singh,Indian,Bowler,"₹20,00,000",2024
