POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"KL Rahul
PBKS",670,14,14,2,132*,55.83,518,129.34,1,5,58,23,2020
2,"Shikhar Dhawan
DC",618,17,17,3,106*,44.14,427,144.73,2,4,67,12,2020
3,"David Warner
SRH",548,16,16,2,85*,39.14,407,134.64,0,4,52,14,2020
4,"Shreyas Iyer
DC",519,17,17,2,88*,34.60,421,123.27,0,3,40,16,2020
5,"Ishan Kishan
MI",516,14,13,4,99,57.33,354,145.76,0,4,36,30,2020
6,"Quinton de Kock
MI",503,16,16,2,78*,35.92,358,140.50,0,4,46,22,2020
7,"Suryakumar Yadav
MI",480,16,15,3,79*,40.00,331,145.01,0,4,61,11,2020
8,"Devdutt Padikkal
RCB",473,15,15,0,74,31.53,379,124.80,0,5,51,8,2020
9,"Virat Kohli
RCB",466,15,15,4,90*,42.36,384,121.35,0,3,23,11,2020
10,"AB de Villiers
RCB",454,15,14,4,73*,45.40,286,158.74,0,5,33,23,2020
11,"Faf du Plessis
CSK",449,13,13,2,87*,40.81,319,140.75,0,4,42,14,2020
12,"Shubman Gill
KKR",440,14,14,1,70*,33.84,373,117.96,0,3,44,9,2020
13,"Manish Pandey
SRH",425,16,15,2,83*,32.69,333,127.62,0,3,35,18,2020
14,"Mayank Agarwal
PBKS",424,11,11,0,106,38.54,271,156.45,1,2,44,15,2020
15,"Eoin Morgan
KKR",418,14,14,4,68*,41.80,302,138.41,0,1,32,24,2020
16,"Sanju Samson
RR",375,14,14,1,85,28.84,236,158.89,0,3,21,26,2020
17,"Ambati Rayudu
CSK",359,12,11,2,71,39.88,282,127.30,0,1,30,12,2020
18,"Nicholas Pooran
PBKS",353,14,14,4,77,35.30,208,169.71,0,2,23,25,2020
19,"Nitish Rana
KKR",352,14,14,0,87,25.14,254,138.58,0,3,43,12,2020
20,"Marcus Stoinis
DC",352,17,17,3,65,25.14,237,148.52,0,3,31,16,2020
21,"Jonny Bairstow
SRH",345,11,11,0,97,31.36,272,126.83,0,3,31,13,2020
22,"Rishabh Pant
DC",343,14,14,3,56,31.18,301,113.95,0,1,31,9,2020
23,"Rohit Sharma
MI",332,12,12,0,80,27.66,260,127.69,0,3,27,19,2020
24,"Jos Buttler
RR",328,13,12,2,70*,32.80,227,144.49,0,2,27,16,2020
25,"Kane Williamson
SRH",317,12,11,4,67,45.28,237,133.75,0,3,26,10,2020
26,"Steve Smith
RR",311,14,14,2,69,25.91,237,131.22,0,3,32,9,2020
27,"Shane Watson
CSK",299,11,11,1,83*,29.90,247,121.05,0,2,33,13,2020
28,"Chris Gayle
PBKS",288,7,7,0,99,41.14,210,137.14,0,3,15,23,2020
29,"Ben Stokes
RR",285,8,8,1,107*,40.71,200,142.50,1,1,36,7,2020
30,"Hardik Pandya
MI",281,14,13,5,60*,35.12,157,178.98,0,1,14,25,2020
31,"Aaron Finch
RCB",268,12,12,0,52,22.33,241,111.20,0,1,28,8,2020
32,"Kieron Pollard
MI",268,16,12,7,60*,53.60,140,191.42,0,1,15,22,2020
33,"Rahul Tewatia
RR",255,14,11,5,53,42.50,183,139.34,0,1,13,17,2020
34,"Ravindra Jadeja
CSK",232,14,11,6,50,46.40,135,171.85,0,1,22,11,2020
35,"Rahul Tripathi
KKR",230,11,11,1,81,23.00,181,127.07,0,1,21,10,2020
36,"Prithvi Shaw
DC",228,13,13,0,66,17.53,167,136.52,0,2,27,8,2020
37,"Wriddhiman Saha
SRH",214,4,4,1,87,71.33,153,139.86,0,2,24,5,2020
38,"Ruturaj Gaikwad
CSK",204,6,6,2,72,51.00,169,120.71,0,3,16,6,2020
39,"MS Dhoni
CSK",200,14,12,4,47*,25.00,172,116.27,0,0,16,7,2020
40,"Robin Uthappa
RR",196,12,12,0,41,16.33,164,119.51,0,0,19,7,2020
41,"Sam Curran
CSK",186,14,11,3,52,23.25,141,131.91,0,1,12,12,2020
42,"Shimron Hetmyer
DC",185,12,11,3,45,23.12,125,148.00,0,0,11,12,2020
43,"Dinesh Karthik
KKR",169,14,14,2,58,14.08,134,126.11,0,1,20,4,2020
44,"Pat Cummins
KKR",146,14,11,4,53*,20.85,114,128.07,0,1,9,8,2020
45,"Priyam Garg
SRH",133,14,10,1,51*,14.77,111,119.81,0,1,9,4,2020
46,"Mandeep Singh
PBKS",130,7,7,1,66*,21.66,109,119.26,0,1,10,4,2020
47,"Shivam Dube
RCB",129,11,9,2,27*,18.42,105,122.85,0,0,5,9,2020
48,"Sunil Narine
KKR",121,10,9,0,64,13.44,85,142.35,0,1,10,8,2020
49,"Andre Russell
KKR",117,10,9,0,25,13.00,81,144.44,0,0,9,9,2020
50,"Axar Patel
DC",117,15,9,1,42,14.62,85,137.64,0,0,6,8,2020
51,"Ajinkya Rahane
DC",113,9,8,0,60,14.12,107,105.60,0,1,12,2,2020
52,"Jofra Archer
RR",113,14,10,4,27*,18.83,63,179.36,0,0,5,10,2020
