POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Shubman Gill
GT",890,17,17,2,129,59.33,564,157.80,3,4,85,33,2023
2,"Faf Du Plessis
RCB",730,14,14,1,84,56.15,475,153.68,0,8,60,36,2023
3,"Devon Conway
CSK",672,16,15,2,92*,51.69,481,139.70,0,6,77,18,2023
4,"Virat Kohli
RCB",639,14,14,2,101*,53.25,457,139.82,2,6,65,16,2023
5,"Yashasvi Jaiswal
RR",625,14,14,1,124,48.08,382,163.61,1,5,82,26,2023
6,"Suryakumar Yadav
MI",605,16,16,2,103*,43.21,334,181.13,1,5,65,28,2023
7,"Ruturaj Gaikwad
CSK",590,16,15,1,92,42.14,400,147.50,0,4,46,30,2023
8,"David Warner
DC",516,14,14,0,86,36.86,392,131.63,0,6,69,10,2023
9,"Rinku Singh
KKR",474,14,14,6,67*,59.25,317,149.52,0,4,31,29,2023
10,"Ishan Kishan
MI",454,15,15,0,75,30.27,318,142.76,0,3,54,18,2023
11,"Cameron Green
MI",452,16,16,7,100*,50.22,282,160.28,1,2,40,22,2023
12,"Heinrich Klaasen
SRH",448,12,11,2,104,49.78,253,177.07,1,2,32,25,2023
13,"Shivam Dube
CSK",418,16,14,3,52,38.00,264,158.33,0,3,12,35,2023
14,"Nitish Rana
KKR",413,14,14,1,75,31.77,293,140.95,0,3,39,20,2023
15,"Marcus Stoinis
LSG",408,15,15,2,89*,31.38,272,150.00,0,3,28,27,2023
16,"Venkatesh Iyer
KKR",404,14,14,0,104,28.86,277,145.84,1,2,32,21,2023
17,"Glenn Maxwell
RCB",400,14,14,2,77,33.33,218,183.48,0,5,29,31,2023
18,"Jos Buttler
RR",392,14,14,0,95,28.00,282,139.00,0,4,42,14,2023
19,"Kyle Mayers
LSG",379,13,13,0,73,29.15,263,144.10,0,4,38,22,2023
20,"Shikhar Dhawan
PBKS",373,11,11,2,99*,41.44,261,142.91,0,3,49,12,2023
21,"Wriddhiman Saha
GT",371,17,17,1,81,23.19,287,129.26,0,2,47,8,2023
22,"Sanju Samson
RR",362,14,14,2,66*,30.17,236,153.38,0,3,25,24,2023
23,"Sai Sudharsan
GT",362,8,8,1,96,51.71,256,141.40,0,3,33,12,2023
24,"Nicholas Pooran
LSG",358,15,15,3,62,29.83,207,172.94,0,2,26,26,2023
25,"Simran Singh
PBKS",358,14,14,0,103,25.57,238,150.42,1,1,38,19,2023
26,"Hardik Pandya
GT",346,16,15,4,66,31.45,253,136.75,0,2,26,15,2023
27,"Tilak Varma
MI",343,11,11,3,84*,42.88,209,164.11,0,1,26,23,2023
28,"Rohit Sharma
MI",332,16,16,0,65,20.75,250,132.80,0,2,35,17,2023
29,"Ajinkya Rahane
CSK",326,14,11,1,71*,32.60,189,172.48,0,2,24,16,2023
30,"Jitesh Sharma
PBKS",309,14,14,1,49*,23.77,198,156.06,0,0,22,21,2023
31,"Vijay Shankar
GT",301,14,10,2,63*,37.63,188,160.10,0,3,27,15,2023
32,"Shimron Hetmyer
RR",300,14,13,5,56*,37.50,197,152.28,0,1,12,23,2023
33,"Jason Roy
KKR",285,8,8,0,61,35.63,188,151.59,0,2,36,12,2023
34,"Axar Patel
DC",283,14,13,3,54,28.30,203,139.40,0,1,21,15,2023
35,"Liam Livingstone
PBKS",279,9,9,1,94,34.88,171,163.15,0,2,20,19,2023
36,"Sam Curran
PBKS",276,14,13,3,55,27.60,203,135.96,0,1,20,13,2023
37,"K L Rahul
LSG",274,9,9,1,74,34.25,242,113.22,0,2,28,4,2023
38,"Rahul Tripathi
SRH",273,13,13,1,74*,22.75,213,128.16,0,1,29,10,2023
39,"Mayank Agarwal
SRH",270,10,10,0,83,27.00,210,128.57,0,1,29,6,2023
40,"Devdutt Padikkal
RR",261,11,11,1,52,26.10,200,130.50,0,2,31,6,2023
41,"David Miller
GT",259,16,13,5,46,32.38,178,145.50,0,0,18,13,2023
42,"Aiden Markram
SRH",248,13,13,2,50,22.55,197,125.88,0,1,18,8,2023
43,"Nehal Wadera
MI",241,14,10,1,64,26.78,166,145.18,0,2,23,12,2023
44,"Ayush Badoni
LSG",238,15,12,2,59*,23.80,172,138.37,0,1,13,12,2023
45,"Tim David
MI",231,16,15,6,45*,25.67,146,158.21,0,0,12,15,2023
46,"Andre Russell
KKR",227,14,14,3,42,20.64,156,145.51,0,0,13,18,2023
47,"Rahmanullah Gurbaz
KKR",227,11,11,0,81,20.64,170,133.52,0,2,17,15,2023
48,"Abhishek Sharma
SRH",226,11,11,0,67,20.55,157,143.94,0,2,28,6,2023
49,"Phil Salt
DC",218,9,9,1,87,27.25,133,163.90,0,2,24,10,2023
50,"Rilee Rossouw
DC",209,9,9,2,82*,29.86,141,148.22,0,1,17,11,2023
51,"Ravindra Jadeja
CSK",190,16,12,4,25*,23.75,133,142.85,0,0,11,9,2023
52,"Harry Brook
SRH",190,11,11,2,100*,21.11,154,123.37,1,0,23,4,2023
53,"Krunal Pandya
LSG",188,15,14,4,49*,18.80,165,113.93,0,0,15,6,2023
54,"Atharva Taide
PBKS",186,7,7,0,66,26.57,129,144.18,0,2,20,6,2023
55,"Abdul Samad
SRH",169,9,8,4,37*,42.25,128,132.03,0,0,10,11,2023
56,"Manish Pandey
DC",160,10,9,0,50,17.78,146,109.58,0,1,15,3,2023
57,"Ambati Rayudu
CSK",158,16,12,2,27*,15.80,113,139.82,0,0,10,9,2023
58,"Shahrukh Khan
PBKS",156,14,13,6,41*,22.29,94,165.95,0,0,13,9,2023
59,"Dhruv Jurel
RR",152,13,11,4,34*,21.71,88,172.72,0,0,11,9,2023
60,"Quinton De Kock
LSG",143,4,4,0,70,35.75,102,140.19,0,1,10,8,2023
61,"Dinesh Karthik
RCB",140,13,13,1,30,11.67,104,134.61,0,0,13,5,2023
62,"Sikandar Raza
PBKS",139,7,7,2,57,27.80,98,141.83,0,1,10,6,2023
