POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Ruturaj Gaikwad
CSK",635,16,16,2,101*,45.35,466,136.26,1,4,64,23,2021
2,"Faf du Plessis
CSK",633,16,16,2,95*,45.21,458,138.20,0,6,60,23,2021
3,"KL Rahul
PBKS",626,13,13,3,98*,62.60,451,138.80,0,6,48,30,2021
4,"Shikhar Dhawan
DC",587,16,16,1,92,39.13,471,124.62,0,3,63,16,2021
5,"Glenn Maxwell
RCB",513,15,14,2,78,42.75,356,144.10,0,6,48,21,2021
6,"Sanju Samson
RR",484,14,14,2,119,40.33,354,136.72,1,2,45,17,2021
7,"Prithvi Shaw
DC",479,15,15,0,82,31.93,301,159.13,0,4,56,18,2021
8,"Shubman Gill
KKR",478,17,17,0,57,28.11,402,118.90,0,3,50,12,2021
9,"Mayank Agarwal
PBKS",441,12,12,1,99*,40.09,314,140.44,0,4,42,18,2021
10,"Rishabh Pant
DC",419,16,16,4,58*,34.91,326,128.52,0,3,42,10,2021
11,"Devdutt Padikkal
RCB",411,14,14,1,101*,31.61,328,125.30,1,1,44,14,2021
12,"Virat Kohli
RCB",405,15,15,1,72*,28.92,339,119.46,0,3,43,9,2021
13,"Rahul Tripathi
KKR",397,17,16,2,74*,28.35,283,140.28,0,2,41,11,2021
14,"Nitish Rana
KKR",383,17,16,3,80,29.46,314,121.97,0,2,34,17,2021
15,"Rohit Sharma
MI",381,13,13,0,63,29.30,299,127.42,0,1,33,14,2021
16,"Venkatesh Iyer
KKR",370,10,10,1,67,41.11,288,128.47,0,4,37,14,2021
17,"Moeen Ali
CSK",357,15,15,1,58,25.50,260,137.30,0,1,31,19,2021
18,"Suryakumar Yadav
MI",317,14,14,0,82,22.64,221,143.43,0,2,40,10,2021
19,"AB de Villiers
RCB",313,15,14,4,76*,31.30,211,148.34,0,2,23,16,2021
20,"Quinton de Kock
MI",297,11,11,1,70*,29.70,256,116.01,0,2,29,7,2021
21,"Manish Pandey
SRH",292,8,8,2,69*,48.66,236,123.72,0,3,21,10,2021
22,"Kane Williamson
SRH",266,10,10,4,66*,44.33,235,113.19,0,2,29,2,2021
23,"Ambati Rayudu
CSK",257,16,13,4,72*,28.55,170,151.17,0,2,16,17,2021
24,"Jos Buttler
RR",254,7,7,0,124,36.28,166,153.01,1,0,27,13,2021
25,"Yashasvi Jaiswal
RR",249,10,10,0,50,24.90,168,148.21,0,1,32,10,2021
26,"Jonny Bairstow
SRH",248,7,7,1,63*,41.33,175,141.71,0,2,20,15,2021
27,"Kieron Pollard
MI",245,14,13,5,87*,30.62,165,148.48,0,1,16,16,2021
28,"Shimron Hetmyer
DC",242,14,13,6,53*,34.57,144,168.05,0,1,19,12,2021
29,"Ishan Kishan
MI",241,10,10,1,84,26.77,180,133.88,0,2,21,10,2021
30,"Shivam Dube
RR",230,9,9,1,64*,28.75,193,119.17,0,1,18,10,2021
31,"Ravindra Jadeja
CSK",227,16,12,9,62*,75.66,156,145.51,0,1,19,9,2021
32,"Dinesh Karthik
KKR",223,17,15,5,40,22.30,170,131.17,0,0,22,7,2021
33,"David Warner
SRH",195,8,8,0,57,24.37,181,107.73,0,2,15,6,2021
34,"Chris Gayle
PBKS",193,10,10,1,46,21.44,154,125.32,0,0,21,8,2021
35,"K.S Bharat
RCB",191,8,7,2,78*,38.20,156,122.43,0,1,10,8,2021
36,"Andre Russell
KKR",183,10,9,2,54,26.14,120,152.50,0,1,14,14,2021
37,"Shreyas Iyer
DC",175,8,8,3,47*,35.00,171,102.33,0,0,7,5,2021
38,"Deepak Hooda
PBKS",160,12,11,1,64,16.00,123,130.08,0,1,9,9,2021
39,"Suresh Raina
CSK",160,12,11,2,54,17.77,128,125.00,0,1,13,9,2021
40,"Rahul Tewatia
RR",155,14,11,1,44,15.50,147,105.44,0,0,11,6,2021
41,"Shahrukh Khan
PBKS",153,11,10,3,47,21.85,114,134.21,0,0,9,10,2021
