PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Christopher Morris,All-Rounder,"$625,000",,2013
Dirk Nannes,Bowler,"$600,000",,2013
Ben Laughlin,Bowler,"$20,000",,2013
Akila Dananjaya,All-Rounder,"$20,000",,2013
Jason Holder,Bowler,"$20,000",,2013
Johan Botha,All-Rounder,"$450,000",,2013
Jesse Ryder,All-Rounder,"$260,000",,2013
Jeevan Mendis,All-Rounder,"$50,000",,2013
Manpreet Gony,Bowler,"$500,000",,2013
Luke Pomersbach,Batsman,"$300,000",,2013
Sachithra Senanayaka,All-Rounder,"$625,000",,2013
Ryan McLaren,Bowler,"$50,000",,2013
Glenn Maxwell,All-Rounder,"$1,000,000",,2013
Nathan Coulter-Nile,Bowler,"$450,000",,2013
Ricky Ponting,Batsman,"$400,000",,2013
Philip Hughes,Batsman,"$100,000",,2013
Jacob Oram,All-Rounder,"$50,000",,2013
Ajantha Mendis,Bowler,"$725,000",,2013
Kane Richardson,Bowler,"$700,000",,2013
Abhishek Nayar,All-Rounder,"$675,000",,2013
Michael Clarke,Batsman,"$400,000",,2013
James Faulkner,All-Rounder,"$400,000",,2013
Fidel Edwards,Bowler,"$210,000",,2013
Kusal Janith Perera,Wicket Keeper,"$20,000",,2013
Jaydev Unadkat,Bowler,"$525,000",,2013
Rudra Pratap Singh,Bowler,"$400,000",,2013
Moises Henriques,All-Rounder,"$300,000",,2013
Ravi Rampaul,Bowler,"$290,000",,2013
Pankaj Singh,Bowler,"$150,000",,2013
Daniel Christian,All-Rounder,"$100,000",,2013
Christopher Barnwell,All-Rounder,"$50,000",,2013
Thisara Perera,All-Rounder,"$675,000",,2013
Darren Sammy,All-Rounder,"$425,000",,2013
Sudeep Tyagi,Bowler,"$100,000",,2013
Clinton McKay,Bowler,"$100,000",,2013
Nathan McCullum,Bowler,"$100,000",,2013
Quinton De Kock,Wicket Keeper,"$20,000",,2013
