PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
KL Rahul,Batsman,"₹11,00,00,000",,2018
Ravichandran Ashwin,All-Rounder,"₹7,60,00,000",,2018
Andrew Tye,Bowler,"₹7,20,00,000",,2018
Aaron Finch,Batsman,"₹6,20,00,000",,2018
Marcus Stoinis,All-Rounder,"₹6,20,00,000",,2018
Karun Nair,Batsman,"₹5,60,00,000",,2018
Mujeeb Zadran,Bowler,"₹4,00,00,000",,2018
Ankit Singh Rajpoot,Bowler,"₹3,00,00,000",,2018
David Miller,Batsman,"₹3,00,00,000",,2018
Mohit Sharma,Bowler,"₹2,40,00,000",,2018
Barinder Singh Sran,Bowler,"₹2,20,00,000",,2018
Yuvraj Singh,All-Rounder,"₹2,00,00,000",,2018
Christopher Gayle,Batsman,"₹2,00,00,000",,2018
Ben Dwarshuis,Bowler,"₹1,40,00,000",,2018
Akshdeep Nath,All-Rounder,"₹1,00,00,000",,2018
Manoj Tiwary,Batsman,"₹1,00,00,000",,2018
Mayank Agarwal,Batsman,"₹1,00,00,000",,2018
Manzoor Dar,All-Rounder,"₹20,00,000",,2018
Pardeep Sahu,Bowler,"₹20,00,000",,2018
Mayank Dagar,All-Rounder,"₹20,00,000",,2018
Chris Lynn,Batsman,"₹9,60,00,000",,2018
Mitchell Starc,Bowler,"₹9,40,00,000",,2018
Dinesh Karthik,Wicket Keeper,"₹7,40,00,000",,2018
Robin Uthappa,Wicket Keeper,"₹6,40,00,000",,2018
Kuldeep Singh Yadav,Bowler,"₹5,80,00,000",,2018
Piyush Chawla,Bowler,"₹4,20,00,000",,2018
Nitish Rana,All-Rounder,"₹3,40,00,000",,2018
Kamlesh Nagarkoti,All-Rounder,"₹3,20,00,000",,2018
Shivam Mavi,All-Rounder,"₹3,00,00,000",,2018
Mitchell Johnson,Bowler,"₹2,00,00,000",,2018
Shubman Gill,Batsman,"₹1,80,00,000",,2018
Ranganath Vinay Kumar,Bowler,"₹1,00,00,000",,2018
Rinku Singh,Batsman,"₹80,00,000",,2018
Cameron Delport,All-Rounder,"₹30,00,000",,2018
Javon Searless,All-Rounder,"₹30,00,000",,2018
Apoorv Vijay Wankhade,Batsman,"₹20,00,000",,2018
Ishank Jaggi,Batsman,"₹20,00,000",,2018
Krunal Pandya,All-Rounder,"₹8,80,00,000",,2018
Ishan Kishan,Wicket Keeper,"₹6,20,00,000",,2018
Kieron Pollard,All-Rounder,"₹5,40,00,000",,2018
Pat Cummins,Bowler,"₹5,40,00,000",,2018
Evin Lewis,Batsman,"₹3,80,00,000",,2018
Suryakumar Yadav,Batsman,"₹3,20,00,000",,2018
Ben Cutting,All-Rounder,"₹2,20,00,000",,2018
Mustafizur Rahman,Bowler,"₹2,20,00,000",,2018
Rahul Chahar,Bowler,"₹1,90,00,000",,2018
Pradeep Sangwan,Bowler,"₹1,50,00,000",,2018
Jason Behrendorff,Bowler,"₹1,50,00,000",,2018
Jean-Paul Duminy,All-Rounder,"₹1,00,00,000",,2018
Saurabh Tiwary,Batsman,"₹80,00,000",,2018
Tajinder Dhillon,All-Rounder,"₹55,00,000",,2018
Akila Dhananjaya,Bowler,"₹50,00,000",,2018
Nidheesh M D Dinesan,Bowler,"₹20,00,000",,2018
Aditya Tare,Wicket Keeper,"₹20,00,000",,2018
Siddhesh Dinesh Lad,Batsman,"₹20,00,000",,2018
Mayank Markande,Bowler,"₹20,00,000",,2018
Sharad Lumba,Batsman,"₹20,00,000",,2018
Anukul Roy,All-Rounder,"₹20,00,000",,2018
Mohsin Khan,Bowler,"₹20,00,000",,2018
Benjamin Stokes,All-Rounder,"₹12,50,00,000",,2018
Jaydev Unadkat,Bowler,"₹11,50,00,000",,2018
Sanju Samson,Wicket Keeper,"₹8,00,00,000",,2018
Jofra Archer,All-Rounder,"₹7,20,00,000",,2018
Krishnappa Gowtham,Bowler,"₹6,20,00,000",,2018
Jos Buttler,Wicket Keeper,"₹4,40,00,000",,2018
Ajinkya Rahane,Batsman,"₹4,00,00,000",,2018
Darcy Short,All-Rounder,"₹4,00,00,000",,2018
Rahul Tripathi,Batsman,"₹3,40,00,000",,2018
Dhawal Kulkarni,Bowler,"₹75,00,000",,2018
Zahir Khan Pakteen,Bowler,"₹60,00,000",,2018
Ben Laughlin,Bowler,"₹50,00,000",,2018
Stuart Binny,All-Rounder,"₹50,00,000",,2018
Dushmantha Chameera,Bowler,"₹50,00,000",,2018
Anureet Singh,Bowler,"₹30,00,000",,2018
Aryaman Vikram Birla,All-Rounder,"₹30,00,000",,2018
Midhun S,All-Rounder,"₹20,00,000",,2018
Shreyas Gopal,All-Rounder,"₹20,00,000",,2018
Prashant Chopra,Wicket Keeper,"₹20,00,000",,2018
Jatin Saxena,All-Rounder,"₹20,00,000",,2018
Ankit Sharma,All-Rounder,"₹20,00,000",,2018
Mahipal Lomror,All-Rounder,"₹20,00,000",,2018
Chris Woakes,All-Rounder,"₹7,40,00,000",,2018
Yuzvendra Singh Chahal,Bowler,"₹6,00,00,000",,2018
Umesh Yadav,Bowler,"₹4,20,00,000",,2018
Brendon McCullum,Batsman,"₹3,60,00,000",,2018
M.S. Washington Sundar,All-Rounder,"₹3,20,00,000",,2018
Navdeep Saini,Bowler,"₹3,00,00,000",,2018
Quinton De Kock,Wicket Keeper,"₹2,80,00,000",,2018
Mohammed Siraj,Bowler,"₹2,60,00,000",,2018
Nathan Coulter-Nile,Bowler,"₹2,20,00,000",,2018
Colin De Grandhomme,All-Rounder,"₹2,20,00,000",,2018
M. Ashwin,Bowler,"₹2,20,00,000",,2018
Parthiv Patel,Wicket Keeper,"₹1,70,00,000",,2018
Moeen Ali,All-Rounder,"₹1,70,00,000",,2018
Mandeep Singh,All-Rounder,"₹1,40,00,000",,2018
Manan Vohra,Batsman,"₹1,10,00,000",,2018
Pawan Negi,All-Rounder,"₹1,00,00,000",,2018
Tim Southee,Bowler,"₹1,00,00,000",,2018
Kulwant Khejroliya,Bowler,"₹85,00,000",,2018
Aniket Choudhary,Bowler,"₹30,00,000",,2018
Pavan Deshpande,All-Rounder,"₹20,00,000",,2018
Anirudha Ashok Joshi,All-Rounder,"₹20,00,000",,2018
Manish Pandey,Batsman,"₹11,00,00,000",,2018
Rashid Khan Arman,Bowler,"₹9,00,00,000",,2018
Shikhar Dhawan,Batsman,"₹5,20,00,000",,2018
Wriddhiman Saha,Wicket Keeper,"₹5,00,00,000",,2018
Siddarth Kaul,Bowler,"₹3,80,00,000",,2018
Deepak Hooda,All-Rounder,"₹3,60,00,000",,2018
Syed Khaleel Ahmed,Bowler,"₹3,00,00,000",,2018
Sandeep Sharma,Bowler,"₹3,00,00,000",,2018
Kane Williamson,Batsman,"₹3,00,00,000",,2018
Carlos Brathwaite,All-Rounder,"₹2,00,00,000",,2018
Shakib Al Hasan,All-Rounder,"₹2,00,00,000",,2018
Yusuf Pathan,All-Rounder,"₹1,90,00,000",,2018
Shreevats Goswami,Wicket Keeper,"₹1,00,00,000",,2018
Mohammad Nabi,All-Rounder,"₹1,00,00,000",,2018
Chris Jordan,All-Rounder,"₹1,00,00,000",,2018
Basil Thampi,Bowler,"₹95,00,000",,2018
Billy Stanlake,Batsman,"₹50,00,000",,2018
T Natarajan,Bowler,"₹40,00,000",,2018
Sachin Baby,Batsman,"₹20,00,000",,2018
Bipul Sharma,All-Rounder,"₹20,00,000",,2018
Syed Mehdi Hasan,All-Rounder,"₹20,00,000",,2018
Ricky Bhui,Batsman,"₹20,00,000",,2018
Tanmay Agarwal,Batsman,"₹20,00,000",,2018
