PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Kedar Jadhav,All-Rounder,"₹7,80,00,000",,2018
Dwayne Bravo,All-Rounder,"₹6,40,00,000",,2018
Karn Sharma,Bowler,"₹5,00,00,000",,2018
Shane Watson,All-Rounder,"₹4,00,00,000",,2018
Shardul Narendra Thakur,Bowler,"₹2,60,00,000",,2018
Ambati Rayudu,Wicket Keeper,"₹2,20,00,000",,2018
Murali Vijay,Batsman,"₹2,00,00,000",,2018
Harbhajan Singh,Bowler,"₹2,00,00,000",,2018
Faf Du Plessis,Batsman,"₹1,60,00,000",,2018
Mark Wood,Bowler,"₹1,50,00,000",,2018
Sam Billings,Wicket Keeper,"₹1,00,00,000",,2018
Imran Tahir,Bowler,"₹1,00,00,000",,2018
Deepak Chahar,All-Rounder,"₹80,00,000",,2018
Mitchell Santner,All-Rounder,"₹50,00,000",,2018
Lungisani Ngidi,Bowler,"₹50,00,000",,2018
Asif K M,Bowler,"₹40,00,000",,2018
N Jagadeesan,Wicket Keeper,"₹20,00,000",,2018
Kanishk Seth,All-Rounder,"₹20,00,000",,2018
Monu Singh,Bowler,"₹20,00,000",,2018
Dhruv Shorey,All-Rounder,"₹20,00,000",,2018
Kshitiz Sharma,All-Rounder,"₹20,00,000",,2018
Chaitanya Bishnoi,All-Rounder,"₹20,00,000",,2018
Glenn Maxwell,All-Rounder,"₹9,00,00,000",,2018
Kagiso Rabada,Bowler,"₹4,20,00,000",,2018
Amit Mishra,Bowler,"₹4,00,00,000",,2018
Shahbaz Nadeem,Bowler,"₹3,20,00,000",,2018
Vijay Shankar,All-Rounder,"₹3,20,00,000",,2018
Rahul Tewatia,All-Rounder,"₹3,00,00,000",,2018
Mohammad Shami,Bowler,"₹3,00,00,000",,2018
Gautam Gambhir,Batsman,"₹2,80,00,000",,2018
Trent Boult,Bowler,"₹2,20,00,000",,2018
Colin Munro,All-Rounder,"₹1,90,00,000",,2018
Daniel Christian,All-Rounder,"₹1,50,00,000",,2018
Jason Roy,Batsman,"₹1,50,00,000",,2018
Naman Ojha,Wicket Keeper,"₹1,40,00,000",,2018
Prithvi Shaw,Batsman,"₹1,20,00,000",,2018
Gurkeerat Singh Mann,All-Rounder,"₹75,00,000",,2018
Avesh Khan,Bowler,"₹70,00,000",,2018
Abhishek Sharma,All-Rounder,"₹55,00,000",,2018
Jayant Yadav,All-Rounder,"₹50,00,000",,2018
Harshal Patel,All-Rounder,"₹20,00,000",,2018
Manjot Kalra,Batsman,"₹20,00,000",,2018
Sandeep Lamichhane,Bowler,"₹20,00,000",,2018
Sayan Ghosh,Bowler,"₹20,00,000",,2018
