PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Krishnappa Gowtham,All-Rounder,"₹9,25,00,000",,2021
Moeen Ali,All-Rounder,"₹7,00,00,000",,2021
Cheteshwar Pujara,Batsman,"₹50,00,000",,2021
K.Bhagath Varma,All-Rounder,"₹20,00,000",,2021
C Hari Nishaanth,Batsman,"₹20,00,000",,2021
M. Harisankar Reddy,Bowler,"₹20,00,000",,2021
Tom Curran,All-Rounder,"₹5,25,00,000",,2021
Steven Smith,Batsman,"₹2,20,00,000",,2021
Sam Billings,Wicket Keeper,"₹2,00,00,000",,2021
Umesh Yadav,Bowler,"₹1,00,00,000",,2021
Ripal Patel,All-Rounder,"₹20,00,000",,2021
Vishnu Vinod,Wicket Keeper,"₹20,00,000",,2021
Lukman Hussain Meriwala,Bowler,"₹20,00,000",,2021
M Siddharth,Bowler,"₹20,00,000",,2021
Shakib Al Hasan,All-Rounder,"₹3,20,00,000",,2021
Harbhajan Singh,Bowler,"₹2,00,00,000",,2021
Ben Cutting,All-Rounder,"₹75,00,000",,2021
Karun Nair,Batsman,"₹50,00,000",,2021
Pawan Negi,All-Rounder,"₹50,00,000",,2021
Venkatesh Iyer,All-Rounder,"₹20,00,000",,2021
Sheldon Jackson,Wicket Keeper,"₹20,00,000",,2021
Vaibhav Arora,Bowler,"₹20,00,000",,2021
Nathan Coulter-Nile,Bowler,"₹5,00,00,000",,2021
Adam Milne,Bowler,"₹3,20,00,000",,2021
Piyush Chawla,Bowler,"₹2,40,00,000",,2021
James Neesham,All-Rounder,"₹50,00,000",,2021
Yudhvir Charak,All-Rounder,"₹20,00,000",,2021
Marco Jansen,All-Rounder,"₹20,00,000",,2021
Arjun Tendulkar,All-Rounder,"₹ 20,00,000",,2021
Jhye Richardson,Bowler,"₹14,00,00,000",,2021
Riley Meredith,Bowler,"₹8,00,00,000",,2021
Shahrukh Khan,All-Rounder,"₹5,25,00,000",,2021
Moises Henriques,All-Rounder,"₹4,20,00,000",,2021
Dawid Malan,All-Rounder,"₹1,50,00,000",,2021
Fabian Allen,All-Rounder,"₹75,00,000",,2021
Jalaj Saxena,All-Rounder,"₹30,00,000",,2021
Saurabh Kumar,All-Rounder,"₹20,00,000",,2021
Utkarsh Singh,All-Rounder,"₹20,00,000",,2021
Christopher Morris,All-Rounder,"₹16,25,00,000",,2021
Shivam Dube,All-Rounder,"₹4,40,00,000",,2021
Chetan Sakariya,Bowler,"₹1,20,00,000",,2021
Mustafizur Rahman,Bowler,"₹1,00,00,000",,2021
Liam Livingstone,All-Rounder,"₹75,00,000",,2021
K.C Cariappa,Bowler,"₹20,00,000",,2021
Akash Singh,Bowler,"₹20,00,000",,2021
Kuldip Yadav,Bowler,"₹ 20,00,000",,2021
Kyle Jamieson,All-Rounder,"₹15,00,00,000",,2021
Glenn Maxwell,All-Rounder,"₹14,25,00,000",,2021
Dan Christian,All-Rounder,"₹4,80,00,000",,2021
Sachin Baby,Batsman,"₹20,00,000",,2021
Rajat Patidar,Batsman,"₹20,00,000",,2021
Mohammed Azharudeen,Wicket Keeper,"₹20,00,000",,2021
Suyash Prabhudesai,All-Rounder,"₹20,00,000",,2021
Kona Srikar Bharat,Wicket Keeper,"₹ 20,00,000",,2021
Kedar Jadhav,All-Rounder,"₹2,00,00,000",,2021
Mujeeb Zadran,Bowler,"₹1,50,00,000",,2021
J Suchith,Bowler,"₹30,00,000",,2021
