PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Ben Stokes,Overseas,All-Rounder,"₹16,25,00,000",2023
Kyle Jamieson,Overseas,Bowler,"₹1,00,00,000",2023
Nishant Sindhu,Indian,All-Rounder,"₹60,00,000",2023
Ajinkya Rahane,Indian,Batter,"₹50,00,000",2023
Bhagath Varma,Indian,All-Rounder,"₹20,00,000",2023
Ajay Mandal,Indian,All-Rounder,"₹20,00,000",2023
Shaik Rasheed,Indian,Batter,"₹20,00,000",2023
Mukesh Kumar,Indian,Bowler,"₹5,50,00,000",2023
Rilee Rossouw,Overseas,Batter,"₹4,60,00,000",2023
Manish Pandey,Indian,Batter,"₹2,40,00,000",2023
Phil Salt,Overseas,Wicket-Keeper,"₹2,00,00,000",2023
Ishant Sharma,Indian,Bowler,"₹50,00,000",2023
Shivam Mavi,Indian,Bowler,"₹6,00,00,000",2023
Joshua Little,Overseas,Bowler,"₹4,40,00,000",2023
Kane Williamson,Overseas,Batter,"₹2,00,00,000",2023
K.S. Bharat,Indian,Wicket-Keeper,"₹1,20,00,000",2023
Mohit Sharma,Indian,Bowler,"₹50,00,000",2023
Odean Smith,Overseas,All-Rounder,"₹50,00,000",2023
Urvil Patel,Indian,Wicket-Keeper,"₹20,00,000",2023
Shakib Al Hasan,Overseas,All-Rounder,"₹1,50,00,000",2023
David Wiese,Overseas,All-Rounder,"₹1,00,00,000",2023
N. Jagadeesan,Indian,Wicket-Keeper,"₹90,00,000",2023
Vaibhav Arora,Indian,Bowler,"₹60,00,000",2023
Mandeep Singh,Indian,Batter,"₹50,00,000",2023
Litton Das,Overseas,Wicket-Keeper,"₹50,00,000",2023
Kulwant Khejroliya,Indian,Bowler,"₹20,00,000",2023
Suyash Sharma,Indian,Bowler,"₹20,00,000",2023
Nicholas Pooran,Overseas,Wicket-Keeper,"₹16,00,00,000",2023
Daniel Sams,Overseas,All-Rounder,"₹75,00,000",2023
Amit Mishra,Indian,Bowler,"₹50,00,000",2023
Romario Shepherd,Overseas,All-Rounder,"₹50,00,000",2023
Naveen Ul Haq,Overseas,Bowler,"₹50,00,000",2023
Jaydev Unadkat,Indian,Bowler,"₹50,00,000",2023
Yash Thakur,Indian,Bowler,"₹45,00,000",2023
Swapnil Singh,Indian,All-Rounder,"₹20,00,000",2023
Yudhvir Charak,Indian,All-Rounder,"₹20,00,000",2023
Prerak Mankad,Indian,All-Rounder,"₹20,00,000",2023
Cameron Green,Overseas,All-Rounder,"₹17,50,00,000",2023
Jhye Richardson,Overseas,Bowler,"₹1,50,00,000",2023
Piyush Chawla,Indian,Bowler,"₹50,00,000",2023
Nehal Wadhera,Indian,All-Rounder,"₹20,00,000",2023
Raghav Goyal,Indian,Bowler,"₹20,00,000",2023
Vishnu Vinod,Indian,Wicket-Keeper,"₹20,00,000",2023
Duan Jansen,Overseas,All-Rounder,"₹20,00,000",2023
Shams Mulani,Indian,All-Rounder,"₹20,00,000",2023
Sam Curran,Overseas,All-Rounder,"₹18,50,00,000",2023
Sikandar Raza,Overseas,All-Rounder,"₹50,00,000",2023
Harpreet Bhatia,Indian,Batter,"₹40,00,000",2023
Shivam Singh,Indian,All-Rounder,"₹20,00,000",2023
Vidwath Kaverappa,Indian,Bowler,"₹20,00,000",2023
Mohit Rathee,Indian,All-Rounder,"₹20,00,000",2023
Jason Holder,Overseas,All-Rounder,"₹5,75,00,000",2023
Adam Zampa,Overseas,Bowler,"₹1,50,00,000",2023
Joe Root,Overseas,Batter,"₹1,00,00,000",2023
Donovan Ferreira,Overseas,Wicket-Keeper,"₹50,00,000",2023
K.M. Asif,Indian,Bowler,"₹30,00,000",2023
Abdul P A,Indian,All-Rounder,"₹20,00,000",2023
Akash Vashisht,Indian,All-Rounder,"₹20,00,000",2023
Kunal Rathore,Indian,Wicket-Keeper,"₹20,00,000",2023
Murugan Ashwin,Indian,Bowler,"₹20,00,000",2023
Will Jacks,Overseas,Batter,"₹3,20,00,000",2023
Reece Topley,Overseas,Bowler,"₹1,90,00,000",2023
Rajan Kumar,Indian,Bowler,"₹70,00,000",2023
Avinash Singh,Indian,Bowler,"₹60,00,000",2023
Sonu Yadav,Indian,All-Rounder,"₹20,00,000",2023
Himanshu Sharma,Indian,Bowler,"₹20,00,000",2023
Manoj Bhandage,Indian,All-Rounder,"₹20,00,000",2023
Harry Brook,Overseas,Batter,"₹13,25,00,000",2023
Mayank Agarwal,Indian,Batter,"₹8,25,00,000",2023
Heinrich Klaasen,Overseas,Wicket-Keeper,"₹5,25,00,000",2023
Vivrant Sharma,Indian,All-Rounder,"₹2,60,00,000",2023
Adil Rashid,Overseas,Bowler,"₹2,00,00,000",2023
Mayank Dagar,Indian,All-Rounder,"₹1,80,00,000",2023
Akeal Hosein,Overseas,Bowler,"₹1,00,00,000",2023
Mayank Markande,Indian,Bowler,"₹50,00,000",2023
Upendra Singh Yadav,Indian,Wicket-Keeper,"₹25,00,000",2023
Sanvir Singh,Indian,All-Rounder,"₹20,00,000",2023
Anmolpreet Singh,Indian,Batter,"₹20,00,000",2023
Samarth Vyas,Indian,All-Rounder,"₹20,00,000",2023
Nitish Kumar Reddy,Indian,Wicket-Keeper,"₹20,00,000",2023
