PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Kagiso Rabada,Bowler,"₹5,00,00,000",,2017
Patrick Cummins,Bowler,"₹4,50,00,000",,2017
Angelo Mathews,All-Rounder,"₹2,00,00,000",,2017
Corey Anderson,All-Rounder,"₹1,00,00,000",,2017
M. Ashwin,Bowler,"₹1,00,00,000",,2017
Aditya Tare,Wicket Keeper,"₹25,00,000",,2017
Ankeet Bawane,Batsman,"₹10,00,000",,2017
Navdeep Saini,Bowler,"₹10,00,000",,2017
Shashank Singh,All-Rounder,"₹10,00,000",,2017
Jason Roy,Batsman,"₹1,00,00,000",,2017
Basil Thampi,Bowler,"₹85,00,000",,2017
Manpreet Gony,Bowler,"₹60,00,000",,2017
Nathu Singh,Bowler,"₹50,00,000",,2017
Munaf Patel,Bowler,"₹30,00,000",,2017
Akshdeep Nath,All-Rounder,"₹10,00,000",,2017
Shubam Agrawal,All-Rounder,"₹10,00,000",,2017
Tejas Singh Baroka,Bowler,"₹10,00,000",,2017
Chirag Suri,Batsman,"₹10,00,000",,2017
Pratham Singh,All-Rounder,"₹10,00,000",,2017
Shelley Shaurya,Bowler,"₹10,00,000",,2017
T Natarajan,Bowler,"₹3,00,00,000",,2017
Varun Aaron,Bowler,"₹2,80,00,000",,2017
Eoin Morgan,Batsman,"₹2,00,00,000",,2017
Matt Henry,Bowler,"₹50,00,000",,2017
Martin Guptill,Batsman,"₹50,00,000",,2017
Darren Sammy,All-Rounder,"₹30,00,000",,2017
Rahul Tewatia,All-Rounder,"₹25,00,000",,2017
Rinku Singh,Batsman,"₹10,00,000",,2017
Trent Boult,Bowler,"₹5,00,00,000",,2017
Chris Woakes,All-Rounder,"₹4,20,00,000",,2017
Nathan Coulter-Nile,Bowler,"₹3,50,00,000",,2017
Rishi Dhawan,All-Rounder,"₹55,00,000",,2017
Darren Bravo,Batsman,"₹50,00,000",,2017
Rovman Powell,All-Rounder,"₹30,00,000",,2017
Sayan Ghosh,Bowler,"₹10,00,000",,2017
R. Sanjay Yadav,All-Rounder,"₹10,00,000",,2017
Ishank Jaggi,Batsman,"₹10,00,000",,2017
Karn Sharma,All-Rounder,"₹3,20,00,000",,2017
Krishnappa Gowtham,All-Rounder,"₹2,00,00,000",,2017
Mitchell Johnson,Bowler,"₹2,00,00,000",,2017
Asela Gunarathna,Batsman,"₹30,00,000",,2017
Saurabh Tiwary,Batsman,"₹30,00,000",,2017
Nicolas Pooran,Wicket Keeper,"₹30,00,000",,2017
Kulwant Khejroliya,Bowler,"₹10,00,000",,2017
Benjamin Stokes,All-Rounder,"₹14,50,00,000",,2017
Daniel Christian,All-Rounder,"₹1,00,00,000",,2017
Manoj Tiwary,Batsman,"₹50,00,000",,2017
Lockie Ferguson,Bowler,"₹50,00,000",,2017
Jaydev Unadkat,Bowler,"₹30,00,000",,2017
Rahul Chahar,Bowler,"₹10,00,000",,2017
Saurabh Kumar,Bowler,"₹10,00,000",,2017
Milind Tandon,All-Rounder,"₹10,00,000",,2017
Rahul Ajay Tripathi,All-Rounder,"₹10,00,000",,2017
Tymal Mills,Bowler,"₹12,00,00,000",,2017
Aniket Choudhary,Bowler,"₹2,00,00,000",,2017
Pawan Negi,All-Rounder,"₹1,00,00,000",,2017
Billy Stanlake,Bowler,"₹30,00,000",,2017
Praveen Dubey,All-Rounder,"₹10,00,000",,2017
Rashid Khan Arman,Bowler,"₹4,00,00,000",,2017
Mohammed Siraj,Bowler,"₹2,60,00,000",,2017
Eklavya Dwivedi,Wicket Keeper,"₹75,00,000",,2017
Chris Jordan,All-Rounder,"₹50,00,000",,2017
Mohammad Nabi,All-Rounder,"₹30,00,000",,2017
Ben Laughlin,Bowler,"₹30,00,000",,2017
Pravin Tambe,Bowler,"₹10,00,000",,2017
Tanmay Agarwal,Batsman,"₹10,00,000",,2017
