PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Mohit Sharma,Bowler,"₹5,00,00,000",,2019
Ruturaj Gaikwad,Batsman,"₹20,00,000",,2019
Colin Ingram,Batsman,"₹6,40,00,000",,2019
Axar Rajesh Patel,All-Rounder,"₹5,00,00,000",,2019
Hanuma Vihari,Batsman,"₹2,00,00,000",,2019
Sherfane Rutherford,All-Rounder,"₹2,00,00,000",,2019
Ishant Sharma,Bowler,"₹1,10,00,000",,2019
Keemo Paul,All-Rounder,"₹50,00,000",,2019
Jalaj Saxena,All-Rounder,"₹20,00,000",,2019
Ankush Bains,Wicket Keeper,"₹20,00,000",,2019
Nathu Singh,Bowler,"₹20,00,000",,2019
Bandaru Ayyappa,Bowler,"₹20,00,000",,2019
Varun Chakaravarthy,All-Rounder,"₹8,40,00,000",,2019
Sam Curran,All-Rounder,"₹7,20,00,000",,2019
Mohammad Shami,Bowler,"₹4,80,00,000",,2019
Prabhsimran Singh,Wicket Keeper,"₹4,80,00,000",,2019
Nicolas Pooran,Wicket Keeper,"₹4,20,00,000",,2019
Moises Henriques,All-Rounder,"₹1,00,00,000",,2019
Hardus Viljoen,Bowler,"₹75,00,000",,2019
Darshan Nalkande,All-Rounder,"₹30,00,000",,2019
Sarfaraz Naushad Khan,All-Rounder,"₹25,00,000",,2019
Arshdeep Singh,Bowler,"₹20,00,000",,2019
Agnivesh Ayachi,All-Rounder,"₹20,00,000",,2019
Harpreet Brar,All-Rounder,"₹20,00,000",,2019
M. Ashwin,Bowler,"₹20,00,000",,2019
Carlos Brathwaite,All-Rounder,"₹5,00,00,000",,2019
Lockie Ferguson,Bowler,"₹1,60,00,000",,2019
Joe Denly,Batsman,"₹1,00,00,000",,2019
Harry Gurney,Bowler,"₹75,00,000",,2019
Nikhil Shankar Naik,Wicket Keeper,"₹20,00,000",,2019
Shrikant Mundhe,All-Rounder,"₹20,00,000",,2019
Prithvi Raj Yarra,Bowler,"₹20,00,000",,2019
Anrich Nortje,Bowler,"₹20,00,000",,2019
Barinder Singh Sran,Bowler,"₹3,40,00,000",,2019
Lasith Malinga,Bowler,"₹2,00,00,000",,2019
Yuvraj Singh,All-Rounder,"₹1,00,00,000",,2019
Anmolpreet Singh,Batsman,"₹80,00,000",,2019
Pankaj Jaswal,All-Rounder,"₹20,00,000",,2019
Rasikh Dar,Bowler,"₹20,00,000",,2019
Jaydev Unadkat,Bowler,"₹8,40,00,000",,2019
Varun Aaron,Bowler,"₹2,40,00,000",,2019
Oshane Thomas,Bowler,"₹1,10,00,000",,2019
Ashton Turner,All-Rounder,"₹50,00,000",,2019
Liam Livingstone,All-Rounder,"₹50,00,000",,2019
Shashank Singh,All-Rounder,"₹30,00,000",,2019
Riyan Parag,All-Rounder,"₹20,00,000",,2019
Manan Vohra,Batsman,"₹20,00,000",,2019
Shubham Ranjane,All-Rounder,"₹20,00,000",,2019
Shivam Dube,All-Rounder,"₹5,00,00,000",,2019
Shimron Hetmyer,Batsman,"₹4,20,00,000",,2019
Akshdeep Nath,All-Rounder,"₹3,60,00,000",,2019
Prayas Ray Barman,All-Rounder,"₹1,50,00,000",,2019
Himmat Singh,Batsman,"₹65,00,000",,2019
Gurkeerat Singh Mann,All-Rounder,"₹50,00,000",,2019
Heinrich Klaasen,Wicket Keeper,"₹50,00,000",,2019
Devdutt Padikkal,Batsman,"₹20,00,000",,2019
Milind Kumar,All-Rounder,"₹20,00,000",,2019
Jonny Bairstow,Wicket Keeper,"₹2,20,00,000",,2019
Wriddhiman Saha,Wicket Keeper,"₹1,20,00,000",,2019
Martin Guptill,Batsman,"₹1,00,00,000",,2019
