PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Deepak Chahar,Indian,Bowler,"₹14,00,00,000",2022
Ambati Rayudu,Indian,Wicket Keeper,"₹6,75,00,000",2022
Dwayne Bravo,Overseas,All-Rounder,"₹4,40,00,000",2022
Shivam Dube,Indian,All-Rounder,"₹4,00,00,000",2022
Chris Jordan,Overseas,All-Rounder,"₹3,60,00,000",2022
Robin Uthappa,Indian,Batsman,"₹2,00,00,000",2022
Mitchell Santner,Overseas,All-Rounder,"₹1,90,00,000",2022
Adam Milne,Overseas,Bowler,"₹1,90,00,000",2022
Rajvardhan Hangargekar,Indian,All-Rounder,"₹1,50,00,000",2022
Prashant Solanki,Indian,Bowler,"₹1,20,00,000",2022
Devon Conway,Overseas,Batsman,"₹1,00,00,000",2022
Maheesh Theekshana,Overseas,Bowler,"₹70,00,000",2022
Dwaine Pretorius,Overseas,All-Rounder,"₹50,00,000",2022
C.Hari Nishaanth,Indian,Batsman,"₹20,00,000",2022
N. Jagadeesan,Indian,Wicket Keeper,"₹20,00,000",2022
K.M. Asif,Indian,Bowler,"₹20,00,000",2022
Tushar Deshpande,Indian,Bowler,"₹20,00,000",2022
Simarjeet Singh,Indian,Bowler,"₹20,00,000",2022
Subhranshu Senapati,Indian,Batsman,"₹20,00,000",2022
Mukesh Choudhary,Indian,Bowler,"₹20,00,000",2022
K.Bhagath Varma,Indian,All-Rounder,"₹20,00,000",2022
Shardul Thakur,Indian,Bowler,"₹10,75,00,000",2022
Mitchell Marsh,Overseas,All-Rounder,"₹6,50,00,000",2022
David Warner,Overseas,Batsman,"₹6,25,00,000",2022
Syed Khaleel Ahmed,Indian,Bowler,"₹5,25,00,000",2022
Chetan Sakariya,Indian,Bowler,"₹4,20,00,000",2022
Rovman Powell,Overseas,Batsman,"₹2,80,00,000",2022
Mustafizur Rahman,Overseas,Bowler,"₹2,00,00,000",2022
Kuldeep Yadav,Indian,Bowler,"₹2,00,00,000",2022
K.S. Bharat,Indian,Wicket Keeper,"₹2,00,00,000",2022
Kamlesh Nagarkoti,Indian,All-Rounder,"₹1,10,00,000",2022
Mandeep Singh,Indian,Batsman,"₹1,10,00,000",2022
Lalit Yadav,Indian,All-Rounder,"₹65,00,000",2022
Lungisani Ngidi,Overseas,Bowler,"₹50,00,000",2022
Yash Dhull,Indian,All-Rounder,"₹50,00,000",2022
Tim Seifert,Overseas,Wicket Keeper,"₹50,00,000",2022
Pravin Dubey,Indian,All-Rounder,"₹50,00,000",2022
Ashwin Hebbar,Indian,Batsman,"₹20,00,000",2022
Sarfaraz Khan,Indian,All-Rounder,"₹20,00,000",2022
Vicky Ostwal,Indian,All-Rounder,"₹20,00,000",2022
Ripal Patel,Indian,All-Rounder,"₹20,00,000",2022
Lockie Ferguson,Overseas,Bowler,"₹10,00,00,000",2022
Rahul Tewatia,Indian,All-Rounder,"₹9,00,00,000",2022
Mohammad Shami,Indian,Bowler,"₹6,25,00,000",2022
Yash Dayal,Indian,Bowler,"₹3,20,00,000",2022
David Miller,Overseas,Batsman,"₹3,00,00,000",2022
R. Sai Kishore,Indian,Bowler,"₹3,00,00,000",2022
Abhinav Sadarangani,Indian,Batsman,"₹2,60,00,000",2022
Matthew Wade,Overseas,Wicket Keeper,"₹2,40,00,000",2022
Alzarri Joseph,Overseas,Bowler,"₹2,40,00,000",2022
Jason Roy,Overseas,Batsman,"₹2,00,00,000",2022
Wriddhiman Saha,Indian,Wicket Keeper,"₹1,90,00,000",2022
Jayant Yadav,Indian,All-Rounder,"₹1,70,00,000",2022
Vijay Shankar,Indian,All-Rounder,"₹1,40,00,000",2022
Dominic Drakes,Overseas,All-Rounder,"₹1,10,00,000",2022
Gurkeerat Singh,Indian,All-Rounder,"₹50,00,000",2022
Varun Aaron,Indian,Bowler,"₹50,00,000",2022
Noor Ahmad,Overseas,Bowler,"₹30,00,000",2022
Darshan Nalkande,Indian,All-Rounder,"₹20,00,000",2022
B. Sai Sudharsan,Indian,All-Rounder,"₹20,00,000",2022
Pradeep Sangwan,Indian,All-Rounder,"₹20,00,000",2022
Shreyas Iyer,Indian,Batsman,"₹12,25,00,000",2022
Nitish Rana,Indian,All-Rounder,"₹8,00,00,000",2022
Pat Cummins,Overseas,All-Rounder,"₹7,25,00,000",2022
Shivam Mavi,Indian,All-Rounder,"₹7,25,00,000",2022
Sam Billings,Overseas,Wicket Keeper,"₹2,00,00,000",2022
Umesh Yadav,Indian,Bowler,"₹2,00,00,000",2022
Alex Hales,Overseas,Batsman,"₹1,50,00,000",2022
Tim Southee,Overseas,Bowler,"₹1,50,00,000",2022
Mohammad Nabi,Overseas,All-Rounder,"₹1,00,00,000",2022
Ajinkya Rahane,Indian,Batsman,"₹1,00,00,000",2022
Sheldon Jackson,Indian,Wicket Keeper,"₹60,00,000",2022
Rinku Singh,Indian,Batsman,"₹55,00,000",2022
Ashok Sharma,Indian,Bowler,"₹55,00,000",2022
Chamika Karunaratne,Overseas,All-Rounder,"₹50,00,000",2022
Abhijeet Tomar,Indian,Batsman,"₹40,00,000",2022
Anukul Roy,Indian,All-Rounder,"₹20,00,000",2022
Rasikh Dar,Indian,Bowler,"₹20,00,000",2022
Baba Indrajith,Indian,Wicket Keeper,"₹20,00,000",2022
Aman Khan,Indian,All-Rounder,"₹20,00,000",2022
Ramesh Kumar,Indian,Batsman,"₹20,00,000",2022
Pratham Singh,Indian,Batsman,"₹20,00,000",2022
Avesh Khan,Indian,Bowler,"₹10,00,00,000",2022
Jason Holder,Overseas,All-Rounder,"₹8,75,00,000",2022
Krunal Pandya,Indian,All-Rounder,"₹8,25,00,000",2022
Mark Wood,Overseas,Bowler,"₹7,50,00,000",2022
Quinton De Kock,Overseas,Wicket Keeper,"₹6,75,00,000",2022
Deepak Hooda,Indian,All-Rounder,"₹5,75,00,000",2022
Manish Pandey,Indian,Batsman,"₹4,60,00,000",2022
Dushmanta Chameera,Overseas,Bowler,"₹2,00,00,000",2022
Evin Lewis,Overseas,Batsman,"₹2,00,00,000",2022
K. Gowtham,Indian,All-Rounder,"₹90,00,000",2022
Ankit Singh Rajpoot,Indian,Bowler,"₹50,00,000",2022
Shahbaz Nadeem,Indian,Bowler,"₹50,00,000",2022
Kyle Mayers,Overseas,All-Rounder,"₹50,00,000",2022
Manan Vohra,Indian,Batsman,"₹20,00,000",2022
Mohsin Khan,Indian,Bowler,"₹20,00,000",2022
Mayank Yadav,Indian,Bowler,"₹20,00,000",2022
Ayush Badoni,Indian,All-Rounder,"₹20,00,000",2022
Karan Sharma,Indian,All-Rounder,"₹20,00,000",2022
Ishan Kishan,Indian,Wicket Keeper,"₹15,25,00,000",2022
Tim David,Overseas,All-Rounder,"₹8,25,00,000",2022
Jofra Archer,Overseas,All-Rounder,"₹8,00,00,000",2022
Dewald Brevis,Overseas,Batsman,"₹3,00,00,000",2022
Daniel Sams,Overseas,All-Rounder,"₹2,60,00,000",2022
