PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
N. Tilak Varma,Indian,All-Rounder,"₹1,70,00,000",2022
Murugan Ashwin,Indian,Bowler,"₹1,60,00,000",2022
Tymal Mills,Overseas,Bowler,"₹1,50,00,000",2022
Jaydev Unadkat,Indian,Bowler,"₹1,30,00,000",2022
Riley Meredith,Overseas,Bowler,"₹1,00,00,000",2022
Fabian Allen,Overseas,All-Rounder,"₹75,00,000",2022
Mayank Markande,Indian,Bowler,"₹65,00,000",2022
Sanjay Yadav,Indian,All-Rounder,"₹50,00,000",2022
Basil Thampi,Indian,Bowler,"₹30,00,000",2022
Arjun Tendulkar,Indian,All-Rounder,"₹30,00,000",2022
Anmolpreet Singh,Indian,Batsman,"₹20,00,000",2022
Ramandeep Singh,Indian,All-Rounder,"₹20,00,000",2022
Aryan Juyal,Indian,Wicket Keeper,"₹20,00,000",2022
Rahul Buddhi,Indian,Batsman,"₹20,00,000",2022
Hrithik Shokeen,Indian,All-Rounder,"₹20,00,000",2022
Mohd. Arshad Khan,Indian,All-Rounder,"₹20,00,000",2022
Liam Livingstone,Overseas,All-Rounder,"₹11,50,00,000",2022
Kagiso Rabada,Overseas,Bowler,"₹9,25,00,000",2022
Shahrukh Khan,Indian,All-Rounder,"₹9,00,00,000",2022
Shikhar Dhawan,Indian,Batsman,"₹8,25,00,000",2022
Jonny Bairstow,Overseas,Wicket Keeper,"₹6,75,00,000",2022
Odean Smith,Overseas,All-Rounder,"₹6,00,00,000",2022
Rahul Chahar,Indian,Bowler,"₹5,25,00,000",2022
Harpreet Brar,Indian,All-Rounder,"₹3,80,00,000",2022
Raj Angad Bawa,Indian,All-Rounder,"₹2,00,00,000",2022
Vaibhav Arora,Indian,Bowler,"₹2,00,00,000",2022
Nathan Ellis,Overseas,Bowler,"₹75,00,000",2022
Prabhsimran Singh,Indian,Wicket Keeper,"₹60,00,000",2022
Rishi Dhawan,Indian,All-Rounder,"₹55,00,000",2022
Sandeep Sharma,Indian,Bowler,"₹50,00,000",2022
Bhanuka Rajapaksa,Overseas,Batsman,"₹50,00,000",2022
Benny Howell,Overseas,All-Rounder,"₹40,00,000",2022
Ishan Porel,Indian,Bowler,"₹25,00,000",2022
Jitesh Sharma,Indian,Wicket Keeper,"₹20,00,000",2022
Prerak Mankad,Indian,All-Rounder,"₹20,00,000",2022
Atharva Taide,Indian,All-Rounder,"₹20,00,000",2022
Writtick Chatterjee,Indian,All-Rounder,"₹20,00,000",2022
Baltej Dhanda,Indian,Bowler,"₹20,00,000",2022
Ansh Patel,Indian,All-Rounder,"₹20,00,000",2022
Prasidh Krishna,Indian,Bowler,"₹10,00,00,000",2022
Shimron Hetmyer,Overseas,Batsman,"₹8,50,00,000",2022
Trent Boult,Overseas,Bowler,"₹8,00,00,000",2022
Devdutt Padikkal,Indian,Batsman,"₹7,75,00,000",2022
Yuzvendra Chahal,Indian,Bowler,"₹6,50,00,000",2022
R. Ashwin,Indian,All-Rounder,"₹5,00,00,000",2022
Riyan Parag,Indian,All-Rounder,"₹3,80,00,000",2022
Navdeep Saini,Indian,Bowler,"₹2,60,00,000",2022
Nathan Coulter-Nile,Overseas,Bowler,"₹2,00,00,000",2022
James Neesham,Overseas,All-Rounder,"₹1,50,00,000",2022
Karun Nair,Indian,Batsman,"₹1,40,00,000",2022
Rassie Van Der Dussen,Overseas,Batsman,"₹1,00,00,000",2022
Daryl Mitchell,Overseas,All-Rounder,"₹75,00,000",2022
Obed Mccoy,Overseas,Bowler,"₹75,00,000",2022
K.C Cariappa,Indian,Bowler,"₹30,00,000",2022
Kuldeep Sen,Indian,Bowler,"₹20,00,000",2022
Dhruv Jurel,Indian,Wicket Keeper,"₹20,00,000",2022
Tejas Baroka,Indian,Bowler,"₹20,00,000",2022
Kuldip Yadav,Indian,Bowler,"₹20,00,000",2022
Shubham Garhwal,Indian,All-Rounder,"₹20,00,000",2022
Anunay Singh,Indian,All-Rounder,"₹20,00,000",2022
Wanindu Hasaranga,Overseas,All-Rounder,"₹10,75,00,000",2022
Harshal Patel,Indian,All-Rounder,"₹10,75,00,000",2022
Josh Hazlewood,Overseas,Bowler,"₹7,75,00,000",2022
Faf Du Plessis,Overseas,Batsman,"₹7,00,00,000",2022
Dinesh Karthik,Indian,Wicket Keeper,"₹5,50,00,000",2022
Anuj Rawat,Indian,Wicket Keeper,"₹3,40,00,000",2022
Shahbaz Ahamad,Indian,All-Rounder,"₹2,40,00,000",2022
David Willey,Overseas,All-Rounder,"₹2,00,00,000",2022
Sherfane Rutherford,Overseas,All-Rounder,"₹1,00,00,000",2022
Mahipal Lomror,Indian,All-Rounder,"₹95,00,000",2022
Finn Allen,Overseas,Batsman,"₹80,00,000",2022
Jason Behrendorff,Overseas,Bowler,"₹75,00,000",2022
Siddharth Kaul,Indian,Bowler,"₹75,00,000",2022
Karn Sharma,Indian,Bowler,"₹50,00,000",2022
Suyash Prabhudessai,Indian,All-Rounder,"₹30,00,000",2022
Chama Milind,Indian,Bowler,"₹25,00,000",2022
Akash Deep,Indian,Bowler,"₹20,00,000",2022
Luvnith Sisodia,Indian,Wicket Keeper,"₹20,00,000",2022
Aneeshwar Gautam,Indian,All-Rounder,"₹20,00,000",2022
Nicholas Pooran,Overseas,Wicket Keeper,"₹10,75,00,000",2022
Washington Sundar,Indian,All-Rounder,"₹8,75,00,000",2022
Rahul Tripathi,Indian,Batsman,"₹8,50,00,000",2022
Romario Shepherd,Overseas,All-Rounder,"₹7,75,00,000",2022
Abhishek Sharma,Indian,All-Rounder,"₹6,50,00,000",2022
Bhuvneshwar Kumar,Indian,Bowler,"₹4,20,00,000",2022
Marco Jansen,Overseas,All-Rounder,"₹4,20,00,000",2022
T. Natarajan,Indian,Bowler,"₹4,00,00,000",2022
Kartik Tyagi,Indian,Bowler,"₹4,00,00,000",2022
Aiden Markram,Overseas,Batsman,"₹2,60,00,000",2022
Sean Abbott,Overseas,Bowler,"₹2,40,00,000",2022
Glenn Phillips,Overseas,Wicket Keeper,"₹1,50,00,000",2022
Shreyas Gopal,Indian,Bowler,"₹75,00,000",2022
Vishnu Vinod,Indian,Wicket Keeper,"₹50,00,000",2022
Fazalhaq Farooqi,Overseas,Bowler,"₹50,00,000",2022
Priyam Garg,Indian,Batsman,"₹20,00,000",2022
Jagadeesha Suchith,Indian,Bowler,"₹20,00,000",2022
R Samarth,Indian,Batsman,"₹20,00,000",2022
Shashank Singh,Indian,All-Rounder,"₹20,00,000",2022
Saurabh Dubey,Indian,Bowler,"₹20,00,000",2022
