PLAYER,NATIONALITY,TYPE,PRICE PAID,Year
Pawan Negi,All-Rounder,"₹8,50,00,000",,2016
Christopher Morris,All-Rounder,"₹7,00,00,000",,2016
Sanju Samson,Wicket Keeper,"₹4,20,00,000",,2016
Carlos Brathwaite,All-Rounder,"₹4,20,00,000",,2016
Karun Nair,Batsman,"₹4,00,00,000",,2016
Rishabh Pant,Wicket Keeper,"₹1,90,00,000",,2016
Joel Paris,Bowler,"₹30,00,000",,2016
Sam Billings,Wicket Keeper,"₹30,00,000",,2016
Chama Milind,Bowler,"₹10,00,000",,2016
Pratyush Singh,All-Rounder,"₹10,00,000",,2016
Mahipal Lomror,All-Rounder,"₹10,00,000",,2016
Syed Khaleel Ahmed,All-Rounder,"₹10,00,000",,2016
Akhil Arvind Herwadkar,All-Rounder,"₹10,00,000",,2016
Pawan Suyal,Bowler,"₹10,00,000",,2016
Praveen Kumar,Bowler,"₹3,50,00,000",,2016
Dale Steyn,Bowler,"₹2,30,00,000",,2016
Dinesh Karthik,Wicket Keeper,"₹2,30,00,000",,2016
Dwayne Smith,All-Rounder,"₹2,30,00,000",,2016
Dhawal Kulkarni,Bowler,"₹2,00,00,000",,2016
Aaron Finch,Batsman,"₹1,00,00,000",,2016
Eklavya Dwivedi,Wicket Keeper,"₹1,00,00,000",,2016
Andrew Tye,All-Rounder,"₹50,00,000",,2016
Ishan Kishan,Wicket Keeper,"₹35,00,000",,2016
Jaydev Shah,All-Rounder,"₹20,00,000",,2016
Shadab Jakati,All-Rounder,"₹20,00,000",,2016
Pravin Tambe,Bowler,"₹20,00,000",,2016
Pradeep Sangwan,All-Rounder,"₹20,00,000",,2016
Amit Mishra,Bowler,"₹10,00,000",,2016
Shivil Kaushik,Bowler,"₹10,00,000",,2016
Akshdeep Nath,All-Rounder,"₹10,00,000",,2016
Sarabjit Ladda,Bowler,"₹10,00,000",,2016
Umang Sharma,Batsman,"₹10,00,000",,2016
Paras Dogra,Batsman,"₹10,00,000",,2016
Mohit Sharma,Bowler,"₹6,50,00,000",,2016
Kyle Abbott,Bowler,"₹2,10,00,000",,2016
K.C. Cariappa,Bowler,"₹80,00,000",,2016
Marcus Stoinis,All-Rounder,"₹55,00,000",,2016
Farhaan Behardien,All-Rounder,"₹30,00,000",,2016
Pardeep Sahu,All-Rounder,"₹10,00,000",,2016
Armaan Jaffer,Batsman,"₹10,00,000",,2016
Swapnil Singh,All-Rounder,"₹10,00,000",,2016
Jaydev Unadkat,Bowler,"₹1,60,00,000",,2016
Ankit Singh Rajpoot,Bowler,"₹1,50,00,000",,2016
John Hastings,Bowler,"₹1,30,00,000",,2016
Jason Holder,All-Rounder,"₹70,00,000",,2016
Colin Munro,All-Rounder,"₹30,00,000",,2016
Rajagopal Sathish,All-Rounder,"₹20,00,000",,2016
Manan Ajay Sharma,All-Rounder,"₹10,00,000",,2016
Jos Buttler,Wicket Keeper,"₹3,80,00,000",,2016
Nathu Singh,Bowler,"₹3,20,00,000",,2016
Tim Southee,Bowler,"₹2,50,00,000",,2016
Krunal Pandya,All-Rounder,"₹2,00,00,000",,2016
Kishore Pramod Kamath,All-Rounder,"₹1,40,00,000",,2016
Deepak Punia,All-Rounder,"₹10,00,000",,2016
Jitesh Sharma,Wicket Keeper,"₹10,00,000",,2016
Mitchell Marsh,All-Rounder,"₹4,80,00,000",,2016
M. Ashwin,Bowler,"₹4,50,00,000",,2016
Ishant Sharma,Bowler,"₹3,80,00,000",,2016
Kevin Pietersen,Batsman,"₹3,50,00,000",,2016
Irfan Pathan,All-Rounder,"₹1,00,00,000",,2016
Thisara Perera,All-Rounder,"₹1,00,00,000",,2016
Rajat Bhatia,All-Rounder,"₹60,00,000",,2016
Ashok Dinda,Bowler,"₹50,00,000",,2016
Scott Boland,Bowler,"₹50,00,000",,2016
Peter Handscomb,Wicket Keeper,"₹30,00,000",,2016
Rudra Pratap Singh,Bowler,"₹30,00,000",,2016
Adam Zampa,Bowler,"₹30,00,000",,2016
Ishwar Chandra Pandey,Bowler,"₹20,00,000",,2016
Deepak Chahar,All-Rounder,"₹10,00,000",,2016
Jaskaran Singh,Bowler,"₹10,00,000",,2016
Baba Aparajith,All-Rounder,"₹10,00,000",,2016
Ankush Bains,Wicket Keeper,"₹10,00,000",,2016
Ankit Sharma,All-Rounder,"₹10,00,000",,2016
Shane Watson,All-Rounder,"₹9,50,00,000",,2016
Stuart Binny,All-Rounder,"₹2,00,00,000",,2016
Kane Richardson,Bowler,"₹2,00,00,000",,2016
Samuel Badree,Bowler,"₹50,00,000",,2016
Travis Head,Batsman,"₹50,00,000",,2016
Praveen Dubey,All-Rounder,"₹35,00,000",,2016
Vikramjeet Malik,Bowler,"₹20,00,000",,2016
Akshay Karnewar,All-Rounder,"₹10,00,000",,2016
Iqbal Abdullah,All-Rounder,"₹10,00,000",,2016
Sachin Baby,Batsman,"₹10,00,000",,2016
Vikas Tokas,Bowler,"₹10,00,000",,2016
Yuvraj Singh,All-Rounder,"₹7,00,00,000",,2016
Ashish Nehra,Bowler,"₹5,50,00,000",,2016
Deepak Hooda,All-Rounder,"₹4,20,00,000",,2016
Mustafizur Rahman,Bowler,"₹1,40,00,000",,2016
Aditya Tare,Wicket Keeper,"₹1,20,00,000",,2016
Barinder Singh Sran,Bowler,"₹1,20,00,000",,2016
Ben Cutting,All-Rounder,"₹50,00,000",,2016
Vijay Shankar,All-Rounder,"₹35,00,000",,2016
Abhimanyu Mithun,Bowler,"₹30,00,000",,2016
Tirumalasetti Suman,Batsman,"₹10,00,000",,2016
