POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
52,"Riyan Parag
RR",183,17,14,3,56*,16.64,132,138.63,0,1,11,10,2022
53,"Krunal Pandya
LSG",183,14,13,4,42,20.33,145,126.20,0,0,16,4,2022
54,"Axar Patel
DC",182,13,10,6,42*,45.50,120,151.66,0,0,12,10,2022
55,"Venkatesh Iyer
KKR",182,12,12,1,50*,16.55,169,107.69,0,1,17,7,2022
56,"Rinku Singh
KKR",174,7,7,2,42*,34.80,117,148.71,0,0,17,7,2022
57,"Sam Billings
KKR",169,8,8,1,36,24.14,138,122.46,0,0,9,10,2022
58,"Dewald Brevis
MI",161,7,7,0,49,23.00,113,142.47,0,0,14,11,2022
59,"Ayush Badoni
LSG",161,13,11,3,54,20.13,130,123.84,0,1,11,7,2022
60,"Lalit Yadav
DC",161,12,8,1,48*,23.00,146,110.27,0,0,11,7,2022
61,"Matthew Wade
GT",157,10,10,0,35,15.70,138,113.76,0,0,23,2,2022
62,"Marcus Stoinis
LSG",156,11,10,2,38*,19.50,106,147.16,0,0,7,13,2022
63,"Sai Sudharsan
GT",145,5,5,1,65*,36.25,114,127.19,0,1,14,3,2022
64,"Kieron Pollard
MI",144,11,11,1,25,14.40,134,107.46,0,0,6,9,2022
65,"Ajinkya Rahane
KKR",133,7,7,0,44,19.00,128,103.90,0,0,14,4,2022
66,"Anuj Rawat
RCB",129,8,8,0,66,16.13,118,109.32,0,1,10,7,2022
67,"Shardul Thakur
DC",120,14,10,2,29*,15.00,87,137.93,0,0,7,7,2022
68,"Shahrukh Khan
PBKS",117,8,8,1,26,16.71,108,108.33,0,0,4,9,2022
69,"Ravindra Jadeja
CSK",116,10,10,4,26*,19.33,98,118.36,0,0,6,5,2022
70,"Abhinav Manohar
GT",108,8,7,1,43,18.00,75,144.00,0,0,14,3,2022
71,"Washington Sundar
SRH",101,9,7,0,40,14.43,69,146.37,0,0,9,3,2022
72,"Rashid Khan
GT",91,16,8,4,40,22.75,44,206.81,0,0,3,9,2022
73,"Sarfaraz Khan
DC",91,6,5,2,36*,30.33,67,135.82,0,0,9,2,2022
74,"Manish Pandey
LSG",88,6,6,0,38,14.67,80,110.00,0,0,9,2,2022
75,"Mahipal Lomror
RCB",86,7,5,0,42,17.20,57,150.87,0,0,7,4,2022
76,"Aaron Finch
KKR",86,5,5,0,58,17.20,61,140.98,0,1,10,3,2022
77,"Rahul Chahar
PBKS",77,13,8,2,25*,12.83,68,113.23,0,0,7,4,2022
78,"Evin Lewis
LSG",73,6,5,2,55*,24.33,56,130.35,0,1,8,3,2022
79,"Sunil Narine
KKR",71,14,10,2,22,8.88,40,177.50,0,0,6,6,2022
80,"Shashank Singh
SRH",69,10,5,1,25*,17.25,47,146.80,0,0,5,4,2022
81,"Suyash S Prabhudessai
RCB",67,5,5,0,34,13.40,59,113.55,0,0,7,2,2022
82,"Pat Cummins
KKR",63,5,5,1,56*,15.75,24,262.50,0,1,5,6,2022
83,"Jaydev Unadkat
MI",59,5,5,2,19*,19.67,37,159.45,0,0,4,3,2022
84,"Romario Shepherd
SRH",58,3,3,1,26*,29.00,41,141.46,0,0,2,5,2022
85,"Jason Holder
LSG",58,12,8,2,16,9.67,44,131.81,0,0,2,6,2022
86,"Umesh Yadav
KKR",55,12,7,3,21,13.75,40,137.50,0,0,4,4,2022
87,"Odean Smith
PBKS",51,6,6,3,25*,17.00,44,115.90,0,0,1,5,2022
88,"Kagiso Rabada
PBKS",48,13,8,3,25,9.60,43,111.62,0,0,5,2,2022
89,"Kuldeep Yadav
DC",48,14,7,6,16*,48.00,52,92.30,0,0,3,2,2022
90,"Priyam Garg
SRH",46,2,2,0,42,23.00,33,139.39,0,0,4,2,2022
91,"Ramandeep Singh
MI",45,5,4,2,14*,22.50,40,112.50,0,0,3,1,2022
92,"Dwaine Pretorius
CSK",44,6,5,1,22,11.00,28,157.14,0,0,3,3,2022
93,"Dushmantha Chameera
LSG",43,12,8,4,17,10.75,28,153.57,0,0,3,3,2022
94,"Harshal Patel
RCB",43,15,8,3,11,8.60,39,110.25,0,0,4,2,2022
95,"Hrithik Shokeen
MI",43,5,3,1,25,21.50,48,89.58,0,0,5,0,2022
96,"Trent Boult
RR",40,16,8,6,17*,20.00,29,137.93,0,0,2,1,2022
97,"Jagadeesan Narayan
CSK",40,2,2,1,39*,40.00,37,108.10,0,0,3,1,2022
98,"Daniel Sams
MI",38,11,10,3,15,5.43,36,105.55,0,0,1,3,2022
99,"Wanindu Hasaranga
RCB",38,16,7,0,18,5.43,43,88.37,0,0,4,1,2022
100,"Rishi Dhawan
PBKS",37,6,4,2,21*,18.50,40,92.50,0,0,4,2,2022
101,"Daryl Mitchell
RR",33,2,2,0,17,16.50,44,75.00,0,0,1,0,2022
102,"Sherfane Rutherford
RCB",33,3,2,0,28,16.50,50,66.00,0,0,1,1,2022
103,"James Neesham
RR",31,2,2,0,17,15.50,27,114.81,0,0,3,0,2022
104,"Mohammed Siraj
RCB",30,15,5,3,14*,15.00,33,90.90,0,0,5,0,2022
105,"Tim Seifert
DC",24,2,2,0,21,12.00,19,126.31,0,0,4,0,2022
106,"Bhuvneshwar Kumar
SRH",24,14,6,3,8,8.00,26,92.30,0,0,3,0,2022
107,"Mohsin Khan
LSG",23,9,3,2,13*,23.00,16,143.75,0,0,2,1,2022
108,"Dwayne Bravo
CSK",23,10,6,4,12,11.50,24,95.83,0,0,1,1,2022
109,"Sheldon Jackson
KKR",23,5,5,1,8,5.75,26,88.46,0,0,0,1,2022
110,"Avesh Khan
LSG",22,13,4,3,12,22.00,13,169.23,0,0,0,3,2022
111,"Rassie van der Dussen
RR",22,3,3,1,12*,11.00,24,91.66,0,0,2,0,2022
112,"Harpreet Brar
PBKS",22,5,3,0,14,7.33,25,88.00,0,0,1,2,2022
113,"Mitchell Santner
CSK",22,6,4,2,11,11.00,27,81.48,0,0,3,0,2022
114,"Arshdeep Singh
PBKS",21,14,6,3,10*,7.00,29,72.41,0,0,3,0,2022
115,"B Indrajith
KKR",21,3,3,0,15,7.00,30,70.00,0,0,2,0,2022
116,"Manan Vohra
LSG",19,2,1,0,19,19.00,11,172.72,0,0,1,2,2022
117,"Vijay Shankar
GT",19,4,4,0,13,4.75,35,54.28,0,0,1,0,2022
118,"Mandeep Singh
DC",18,3,3,0,18,6.00,23,78.26,0,0,4,0,2022
119,"Josh Hazlewood
RCB",18,12,5,5,7*,-,26,69.23,0,0,1,0,2022
120,"David Willey
RCB",18,4,2,0,18,9.00,30,60.00,0,0,3,0,2022
121,"Karun Nair
RR",16,3,2,0,13,8.00,18,88.88,0,0,1,0,2022
122,"Simran Singh
PBKS",14,1,1,0,14,14.00,11,127.27,0,0,2,0,2022
123,"Anmolpreet Singh
MI",13,2,2,0,8,6.50,13,100.00,0,0,1,0,2022
124,"Murugan Ashwin
MI",12,8,5,2,6,4.00,14,85.71,0,0,1,1,2022
125,"Varun Chakaravarthy
KKR",12,11,4,4,10*,-,18,66.66,0,0,2,0,2022
126,"Chris Jordan
CSK",11,4,2,1,6*,11.00,8,137.50,0,0,0,0,2022
127,"Rajangad Bawa
PBKS",11,2,2,0,11,5.50,14,78.57,0,0,1,0,2022
128,"Shreyas Gopal
SRH",9,1,1,1,9*,-,7,128.57,0,0,2,0,2022
129,"Marco Jansen
SRH",9,8,3,2,8*,9.00,7,128.57,0,0,0,1,2022
130,"Obed McCoy
RR",8,7,1,0,8,8.00,5,160.00,0,0,0,1,2022
131,"Srikar Bharat
DC",8,2,2,0,8,4.00,7,114.28,0,0,2,0,2022
132,"Fabian Allen
MI",8,1,1,0,8,8.00,7,114.28,0,0,1,0,2022
133,"Sean Abbott
SRH",7,1,1,0,7,7.00,5,140.00,0,0,0,1,2022
134,"Rasikh Salam
KKR",7,2,1,0,7,7.00,6,116.66,0,0,1,0,2022
135,"Kartik Tyagi
SRH",7,2,2,0,7,3.50,6,116.66,0,0,1,0,2022
136,"Maheesh Theekshana
CSK",7,9,2,1,7*,7.00,7,100.00,0,0,0,1,2022
137,"Simarjeet Singh
CSK",7,6,3,2,3*,7.00,8,87.50,0,0,0,0,2022
138,"Ripal Patel
DC",6,2,1,0,6,6.00,3,200.00,0,0,0,1,2022
139,"Mukesh Choudhary
CSK",6,13,2,1,4,6.00,6,100.00,0,0,1,0,2022
140,"Prasidh Krishna
RR",6,17,3,2,4*,6.00,12,50.00,0,0,0,0,2022
141,"Aman Khan
KKR",5,1,1,0,5,5.00,3,166.66,0,0,1,0,2022
142,"Lockie Ferguson
GT",5,13,3,1,5,2.50,4,125.00,0,0,1,0,2022
143,"Alzarri Joseph
GT",5,9,3,2,4*,5.00,7,71.42,0,0,0,0,2022
144,"Yuzvendra Chahal
RR",5,17,2,1,5,5.00,8,62.50,0,0,0,0,2022
145,"Vaibhav Arora
PBKS",5,5,4,2,2*,2.50,13,38.46,0,0,0,0,2022
146,"Prerak Mankad
PBKS",4,1,1,1,4*,-,1,400.00,0,0,1,0,2022
147,"Karan Sharma
LSG",4,1,1,0,4,4.00,4,100.00,0,0,1,0,2022
148,"Abdul Samad
SRH",4,2,2,0,4,2.00,7,57.14,0,0,0,0,2022
149,"Abhijeet Tomar
KKR",4,1,1,0,4,4.00,8,50.00,0,0,1,0,2022
150,"Umran Malik
SRH",4,14,4,3,3*,4.00,8,50.00,0,0,0,0,2022
151,"Mustafizur Rahman
DC",3,8,1,1,3*,-,5,60.00,0,0,0,0,2022
152,"Kumar Kartikeya Singh
MI",3,4,1,0,3,3.00,5,60.00,0,0,0,0,2022
153,"Shivam Mavi
KKR",3,6,3,1,2,1.50,7,42.85,0,0,0,0,2022
154,"Harshit Rana
KKR",2,2,2,1,2,2.00,2,100.00,0,0,0,0,2022
155,"Navdeep Saini
RR",2,2,1,0,2,2.00,2,100.00,0,0,0,0,2022
156,"Tristan Stubbs
MI",2,2,2,0,2,1.00,4,50.00,0,0,0,0,2022
157,"Pradeep Sangwan
GT",2,3,1,0,2,2.00,5,40.00,0,0,0,0,2022
158,"Fazalhaq Farooqi
SRH",2,3,1,1,2*,-,8,25.00,0,0,0,0,2022
159,"Jagadeesha Suchith
SRH",2,5,2,0,2,1.00,8,25.00,0,0,0,0,2022
160,"Tim Southee
KKR",2,9,5,1,1*,0.50,12,16.66,0,0,0,0,2022
161,"Nathan Coulter-Nile
RR",1,1,1,1,1*,-,2,50.00,0,0,0,0,2022
162,"Anrich Nortje
DC",1,6,1,1,1*,-,6,16.66,0,0,0,0,2022
