POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Jos Buttler
RR",863,17,17,2,116,57.53,579,149.05,4,4,83,45,2022
2,"K L Rahul
LSG",616,15,15,3,103*,51.33,455,135.38,2,4,45,30,2022
3,"Quinton De Kock
LSG",508,15,15,1,140*,36.29,341,148.97,1,3,47,23,2022
4,"Hardik Pandya
GT",487,15,15,4,87*,44.27,371,131.26,0,4,49,12,2022
5,"Shubman Gill
GT",483,16,16,2,96,34.50,365,132.32,0,4,51,11,2022
6,"David Miller
GT",481,16,16,9,94*,68.71,337,142.72,0,2,32,23,2022
7,"Faf Du Plessis
RCB",468,16,16,1,96,31.20,367,127.52,0,3,49,13,2022
8,"Shikhar Dhawan
PBKS",460,14,14,2,88*,38.33,375,122.66,0,3,47,12,2022
9,"Sanju Samson
RR",458,17,17,1,55,28.63,312,146.79,0,2,43,26,2022
10,"Deepak Hooda
LSG",451,15,14,0,59,32.21,330,136.66,0,4,36,18,2022
11,"Liam Livingstone
PBKS",437,14,14,2,70,36.42,240,182.08,0,4,29,34,2022
12,"David Warner
DC",432,12,12,3,92*,48.00,287,150.52,0,5,52,15,2022
13,"Abhishek Sharma
SRH",426,14,14,0,75,30.43,320,133.12,0,2,47,13,2022
14,"Ishan Kishan
MI",418,14,14,1,81*,32.15,348,120.11,0,3,45,11,2022
15,"Rahul Tripathi
SRH",413,14,14,3,76,37.55,261,158.23,0,3,40,20,2022
16,"Shreyas Iyer
KKR",401,14,14,1,85,30.85,298,134.56,0,3,41,11,2022
17,"Tilak Varma
MI",397,14,14,3,61,36.09,303,131.02,0,2,29,16,2022
18,"Aiden Markram
SRH",381,14,12,4,68*,47.63,274,139.05,0,3,25,19,2022
19,"Devdutt Padikkal
RR",376,17,17,0,54,22.12,306,122.87,0,1,40,14,2022
20,"Ruturaj Gaikwad
CSK",368,14,14,0,99,26.29,291,126.46,0,3,33,14,2022
21,"Nitish Rana
KKR",361,14,14,1,57,27.77,251,143.82,0,2,29,22,2022
22,"Virat Kohli
RCB",341,16,16,1,73,22.73,294,115.98,0,2,32,8,2022
23,"Rishabh Pant
DC",340,14,13,2,44,30.91,224,151.78,0,0,35,16,2022
24,"Andre Russell
KKR",335,14,12,3,70*,37.22,192,174.47,0,1,18,32,2022
25,"Rajat Patidar
RCB",333,8,7,1,112*,55.50,218,152.75,1,2,27,18,2022
26,"Dinesh Karthik
RCB",330,16,16,10,66*,55.00,180,183.33,0,1,27,22,2022
27,"Wriddhiman Saha
GT",317,11,11,1,68,31.70,259,122.39,0,3,40,7,2022
28,"Shimron Hetmyer
RR",314,15,15,8,59*,44.86,204,153.92,0,1,21,21,2022
29,"Nicholas Pooran
SRH",306,14,13,5,64*,38.25,212,144.33,0,2,16,21,2022
30,"Suryakumar Yadav
MI",303,8,8,1,68*,43.29,208,145.67,0,3,23,16,2022
31,"Glenn Maxwell
RCB",301,13,13,2,55,27.36,178,169.10,0,1,31,15,2022
32,"Shivam Dube
CSK",289,11,11,1,95*,28.90,185,156.21,0,2,22,16,2022
33,"Prithvi Shaw
DC",283,10,10,0,61,28.30,185,152.97,0,2,37,10,2022
34,"Ambati Rayudu
CSK",274,13,11,0,78,24.91,224,122.32,0,1,25,15,2022
35,"Rohit Sharma
MI",268,14,14,0,48,19.14,223,120.17,0,0,28,13,2022
36,"Yashasvi Jaiswal
RR",258,10,10,0,68,25.80,194,132.98,0,2,28,10,2022
37,"Jonny Bairstow
PBKS",253,11,11,0,66,23.00,175,144.57,0,2,34,9,2022
38,"Devon Conway
CSK",252,7,7,1,87,42.00,173,145.66,0,3,22,12,2022
39,"Mitchell Marsh
DC",251,8,8,0,89,31.38,189,132.80,0,2,19,14,2022
40,"Rovman Powell
DC",250,14,12,2,67*,25.00,167,149.70,0,1,10,22,2022
41,"Moeen Ali
CSK",244,10,10,0,93,24.40,177,137.85,0,1,24,11,2022
42,"Jitesh Sharma
PBKS",234,12,10,2,44,29.25,143,163.63,0,0,22,12,2022
43,"MS Dhoni
CSK",232,14,13,6,50*,33.14,188,123.40,0,1,21,10,2022
44,"Robin Uthappa
CSK",230,12,11,0,88,20.91,171,134.50,0,2,19,14,2022
45,"Shahbaz Ahmed
RCB",219,16,11,3,45,27.38,181,120.99,0,0,14,9,2022
46,"Rahul Tewatia
GT",217,16,12,5,43*,31.00,147,147.61,0,0,22,9,2022
47,"Kane Williamson
SRH",216,13,13,2,57,19.64,231,93.50,0,1,16,8,2022
48,"Bhanuka Rajapaksa
PBKS",206,9,9,0,43,22.89,129,159.68,0,0,16,13,2022
49,"Mayank Agarwal
PBKS",196,13,12,0,52,16.33,160,122.50,0,1,23,6,2022
50,"Ravichandran Ashwin
RR",191,17,12,5,50,27.29,135,141.48,0,1,14,9,2022
51,"Tim David
MI",186,8,8,3,46,37.20,86,216.27,0,0,12,16,2022
