POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Robin Uthappa
KKR",660,16,16,1,83*,44.00,479,137.78,0,5,74,18,2014
2,"Dwayne Smith
CSK",566,16,16,0,79,35.37,416,136.05,0,5,50,34,2014
3,"Glenn Maxwell
PBKS",552,16,16,0,95,34.50,294,187.75,0,4,48,36,2014
4,"David Warner
SRH",528,14,14,3,90,48.00,375,140.80,0,6,39,24,2014
5,"Suresh Raina
CSK",523,16,16,3,87,40.23,358,146.08,0,5,51,19,2014
6,"Virender Sehwag
PBKS",455,17,17,0,122,26.76,315,144.44,1,1,56,18,2014
7,"David Miller
PBKS",446,16,16,6,66,44.60,299,149.16,0,3,34,21,2014
8,"JP Duminy
DC",410,14,14,6,67*,51.25,305,134.42,0,2,22,20,2014
9,"Brendon McCullum
CSK",405,14,14,1,71*,31.15,333,121.62,0,3,32,19,2014
10,"Manish Pandey
KKR",401,16,16,3,94,30.84,340,117.94,0,2,35,10,2014
11,"AB de Villiers
RCB",395,14,13,2,89*,35.90,249,158.63,0,3,26,24,2014
12,"Lendl Simmons
MI",394,8,8,1,100*,56.28,291,135.39,1,3,43,14,2014
13,"Rohit Sharma
MI",390,15,15,2,59*,30.00,302,129.13,0,3,31,16,2014
14,"Shikhar Dhawan
SRH",377,14,14,1,64*,29.00,319,118.18,0,2,49,7,2014
15,"Yuvraj Singh
RCB",376,14,14,3,83,34.18,278,135.25,0,3,22,28,2014
16,"MS Dhoni
CSK",371,16,15,10,57*,74.20,250,148.40,0,1,22,20,2014
17,"Wriddhiman Saha
PBKS",362,17,13,2,115*,32.90,249,145.38,1,2,33,18,2014
18,"Ambati Rayudu
MI",361,15,14,0,68,25.78,287,125.78,0,2,31,8,2014
19,"Virat Kohli
RCB",359,14,14,1,73,27.61,294,122.10,0,2,23,16,2014
20,"Ajinkya Rahane
RR",339,13,12,0,72,28.25,291,116.49,0,3,38,3,2014
21,"Sanju Samson
RR",339,13,13,0,74,26.07,273,124.17,0,2,25,17,2014
22,"Gautam Gambhir
KKR",335,16,16,1,69,22.33,293,114.33,0,3,36,4,2014
23,"Karun Nair
RR",330,11,11,1,73*,33.00,232,142.24,0,3,38,9,2014
24,"Dinesh Karthik
DC",325,14,14,0,69,23.21,258,125.96,0,3,28,11,2014
25,"Manan Vohra
PBKS",324,8,8,0,67,40.50,233,139.05,0,1,27,16,2014
26,"Aaron Finch
SRH",309,13,13,2,88*,28.09,263,117.49,0,2,31,9,2014
27,"Faf du Plessis
CSK",303,15,12,1,54*,27.54,235,128.93,0,2,26,7,2014
28,"Kevin Pietersen
DC",294,11,11,1,58,29.40,233,126.18,0,1,34,7,2014
29,"Kieron Pollard
MI",273,15,15,7,78,34.12,203,134.48,0,1,15,15,2014
30,"Yusuf Pathan
KKR",268,15,12,3,72,29.77,165,162.42,0,1,15,20,2014
31,"Corey Anderson
MI",265,12,11,2,95*,29.44,181,146.40,0,1,21,15,2014
32,"George Bailey
PBKS",257,17,16,7,40*,28.55,190,135.26,0,0,19,10,2014
33,"Shane Watson
RR",240,13,13,1,51,20.00,196,122.44,0,2,19,14,2014
34,"Naman Ojha
SRH",232,11,10,4,79*,38.66,161,144.09,0,1,14,17,2014
35,"Shakib Al Hasan
KKR",227,13,11,4,60,32.42,152,149.34,0,1,22,7,2014
36,"Michael Hussey
MI",209,9,9,0,56,23.22,182,114.83,0,2,17,7,2014
37,"Murali Vijay
DC",207,11,11,0,52,18.81,192,107.81,0,1,20,5,2014
38,"Parthiv Patel
RCB",205,12,12,2,57*,20.50,185,110.81,0,1,30,1,2014
39,"Chris Gayle
RCB",196,9,9,0,46,21.77,184,106.52,0,0,18,12,2014
40,"James Faulkner
RR",181,13,12,8,41*,45.25,94,192.55,0,0,8,16,2014
41,"KL Rahul
SRH",166,11,8,0,46,20.75,164,101.21,0,0,12,3,2014
42,"Suryakumar Yadav
KKR",164,16,10,5,34,32.80,117,140.17,0,0,16,5,2014
43,"Quinton de Kock
DC",153,7,7,0,48,21.85,130,117.69,0,0,19,4,2014
44,"Manoj Tiwary
DC",152,8,8,3,61*,30.40,118,128.81,0,1,14,4,2014
45,"Jacques Kallis
KKR",151,8,7,1,72,25.16,129,117.05,0,1,13,4,2014
46,"Kedar Jadhav
DC",149,10,10,5,37,29.80,101,147.52,0,0,13,7,2014
47,"Steve Smith
RR",147,10,7,3,48*,36.75,110,133.63,0,0,13,4,2014
48,"Ravindra Jadeja
CSK",146,16,10,5,36*,29.20,110,132.72,0,0,9,5,2014
49,"Aditya Tare
MI",126,15,12,4,24,15.75,98,128.57,0,0,16,3,2014
50,"Cheteshwar Pujara
PBKS",125,6,6,1,40*,25.00,124,100.80,0,0,17,0,2014
51,"Stuart Binny
RR",123,13,12,2,48*,12.30,121,101.65,0,0,4,5,2014
52,"Chidhambaram Gautam
MI",121,9,9,2,33,17.28,111,109.00,0,0,13,5,2014
53,"David Hussey
CSK",116,5,4,2,50*,58.00,94,123.40,0,1,8,6,2014
54,"Mayank Agarwal
DC",115,8,8,0,31,14.37,91,126.37,0,0,12,3,2014
55,"Darren Sammy
SRH",108,10,9,2,29,15.42,91,118.68,0,0,4,8,2014
56,"Yogesh Takawale
RCB",104,5,5,0,45,20.80,91,114.28,0,0,17,1,2014
