POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
57,"Brad Hodge
RR",101,4,4,1,40,33.66,72,140.27,0,0,4,6,2014
58,"Mitchell Starc
RCB",85,14,9,3,29,14.16,84,101.19,0,0,9,0,2014
59,"Rishi Dhawan
PBKS",82,13,6,4,23*,41.00,75,109.33,0,0,8,1,2014
60,"Sachin Rana
RCB",73,9,7,4,19*,24.33,65,112.30,0,0,7,1,2014
61,"Venugopal Rao
SRH",71,7,5,2,27,23.66,63,112.69,0,0,8,0,2014
62,"Shaun Marsh
PBKS",70,2,2,0,40,35.00,52,134.61,0,0,7,3,2014
63,"Rajat Bhatia
RR",67,12,7,2,23,13.40,53,126.41,0,0,4,3,2014
64,"Axar Patel
PBKS",62,17,8,2,42*,10.33,60,103.33,0,0,6,1,2014
65,"Ross Taylor
DC",59,4,4,1,43*,19.66,59,100.00,0,0,6,0,2014
66,"Chris Lynn
KKR",58,2,2,0,45,29.00,49,118.36,0,0,5,3,2014
67,"Mitchell Johnson
PBKS",56,14,8,5,16*,18.66,50,112.00,0,0,4,3,2014
68,"Irfan Pathan
SRH",55,10,6,4,23*,27.50,54,101.85,0,0,5,0,2014
69,"Ryan ten Doeschate
KKR",52,10,7,3,25*,13.00,33,157.57,0,0,3,4,2014
70,"Albie Morkel
RCB",45,7,5,2,16,15.00,41,109.75,0,0,1,3,2014
71,"Ravichandran Ashwin
CSK",45,16,6,3,14,15.00,45,100.00,0,0,4,0,2014
72,"Abhishek Nayar
RR",43,5,4,1,23,14.33,47,91.48,0,0,5,1,2014
73,"Jimmy Neesham
DC",42,4,3,0,22,14.00,46,91.30,0,0,3,1,2014
74,"Karn Sharma
SRH",42,14,8,4,17*,10.50,29,144.82,0,0,1,3,2014
75,"Ben Dunk
MI",40,3,3,0,20,13.33,35,114.28,0,0,7,0,2014
76,"Rilee Rossouw
RCB",39,3,3,0,24,13.00,41,95.12,0,0,2,2,2014
77,"Kevon Cooper
RR",39,5,5,2,32,13.00,26,150.00,0,0,2,3,2014
78,"Dhawal Kulkarni
RR",35,8,2,2,28*,0.00,25,140.00,0,0,1,2,2014
79,"Varun Aaron
RCB",35,10,3,3,17*,0.00,34,102.94,0,0,2,1,2014
80,"Mithun Manhas
CSK",35,12,5,3,13*,17.50,23,152.17,0,0,3,1,2014
81,"Ankit Sharma
RR",34,3,2,0,30,17.00,30,113.33,0,0,4,1,2014
82,"Laxmi Ratan Shukla
DC",31,5,3,0,21,10.33,38,81.57,0,0,2,1,2014
83,"Piyush Chawla
KKR",31,11,5,2,17*,10.33,19,163.15,0,0,4,1,2014
84,"Vijay Zol
RCB",29,3,2,0,16,14.50,26,111.53,0,0,3,1,2014
85,"Harbhajan Singh
MI",28,14,7,2,10*,5.60,25,112.00,0,0,2,2,2014
86,"Mandeep Singh
PBKS",24,3,3,0,21,8.00,26,92.30,0,0,2,0,2014
87,"Dale Steyn
SRH",22,14,4,1,12,7.33,26,84.61,0,0,1,0,2014
88,"Rahul Shukla
DC",18,3,3,2,14,18.00,21,85.71,0,0,2,0,2014
89,"Jason Holder
SRH",16,1,1,0,16,16.00,12,133.33,0,0,2,1,2014
90,"Nic Maddinson
RCB",16,2,2,0,12,8.00,14,114.28,0,0,3,0,2014
91,"Rahul Tewatia
RR",16,3,1,0,16,16.00,13,123.07,0,0,0,1,2014
92,"Ravi Rampaul
RCB",13,2,1,0,13,13.00,13,100.00,0,0,0,1,2014
93,"Harshal Patel
RCB",13,3,3,1,6,6.50,7,185.71,0,0,1,1,2014
94,"Shreyas Gopal
MI",11,4,1,0,11,11.00,10,110.00,0,0,1,0,2014
95,"Sunil Narine
KKR",10,16,5,3,6,5.00,14,71.42,0,0,0,0,2014
96,"Moises Henriques
SRH",9,4,2,0,9,4.50,14,64.28,0,0,1,0,2014
97,"Ben Cutting
RR",8,1,1,0,8,8.00,6,133.33,0,0,0,1,2014
98,"Dwayne Bravo
CSK",8,1,1,1,8*,0.00,3,266.66,0,0,0,1,2014
99,"Imran Tahir
DC",8,6,2,0,4,4.00,10,80.00,0,0,2,0,2014
100,"Zaheer Khan
MI",8,6,4,3,7*,8.00,7,114.28,0,0,0,1,2014
101,"Shahbaz Nadeem
DC",7,11,3,1,3*,3.50,19,36.84,0,0,0,0,2014
102,"Shivam Sharma
PBKS",5,4,2,1,4,5.00,3,166.66,0,0,1,0,2014
103,"Pravin Tambe
RR",5,13,2,0,3,2.50,9,55.55,0,0,0,0,2014
104,"Dishant Yagnik
RR",4,1,1,1,4*,0.00,6,66.66,0,0,0,0,2014
105,"Tim Southee
RR",4,3,1,0,4,4.00,4,100.00,0,0,1,0,2014
106,"Abu Nechim
RCB",4,4,1,1,4*,0.00,1,400.00,0,0,1,0,2014
107,"Ashok Dinda
RCB",4,9,3,2,2*,4.00,12,33.33,0,0,0,0,2014
108,"Vinay Kumar
KKR",4,9,4,2,4,2.00,6,66.66,0,0,0,0,2014
109,"Amit Mishra
SRH",4,10,2,1,4*,4.00,7,57.14,0,0,0,0,2014
110,"Morne Morkel
KKR",4,12,2,2,4*,0.00,3,133.33,0,0,0,0,2014
111,"Manvinder Bisla
KKR",3,1,1,0,3,3.00,9,33.33,0,0,0,0,2014
112,"Srikkanth Anirudha
SRH",3,1,1,0,3,3.00,5,60.00,0,0,0,0,2014
113,"Mohammad Shami
DC",3,12,4,2,1*,1.50,7,42.85,0,0,0,0,2014
114,"Unmukt Chand
RR",2,1,1,0,2,2.00,9,22.22,0,0,0,0,2014
115,"Andre Russell
KKR",2,2,2,0,1,1.00,8,25.00,0,0,0,0,2014
116,"Siddarth Kaul
DC",2,5,1,1,2*,0.00,2,100.00,0,0,0,0,2014
117,"Wayne Parnell
DC",2,8,2,1,2,2.00,2,100.00,0,0,0,0,2014
118,"Lasith Malinga
MI",2,10,1,0,2,2.00,4,50.00,0,0,0,0,2014
119,"Sandeep Sharma
PBKS",2,11,1,1,2*,0.00,5,40.00,0,0,0,0,2014
120,"Umesh Yadav
KKR",2,12,1,0,2,2.00,4,50.00,0,0,0,0,2014
121,"Marchant de Lange
MI",1,1,1,0,1,1.00,2,50.00,0,0,0,0,2014
122,"Vikramjeet Malik
RR",1,1,1,1,1*,0.00,2,50.00,0,0,0,0,2014
123,"Praveen Kumar
MI",1,3,1,0,1,1.00,2,50.00,0,0,0,0,2014
124,"Karanveer Singh
PBKS",1,5,1,1,1*,0.00,1,100.00,0,0,0,0,2014
125,"Kane Richardson
RR",1,7,1,0,1,1.00,2,50.00,0,0,0,0,2014
126,"Jaydev Unadkat
DC",1,9,2,1,1*,1.00,6,16.66,0,0,0,0,2014
127,"Lakshmipathy Balaji
PBKS",1,9,2,1,1*,1.00,3,33.33,0,0,0,0,2014
128,"Jasprit Bumrah
MI",1,11,2,2,1*,0.00,3,33.33,0,0,0,0,2014
129,"Bhuvneshwar Kumar
SRH",1,14,2,1,1,1.00,4,25.00,0,0,0,0,2014
130,"Yuzvendra Chahal
RCB",1,14,2,2,1*,0.00,1,100.00,0,0,0,0,2014
131,"Mohit Sharma
CSK",1,16,1,1,1*,0.00,3,33.33,0,0,0,0,2014
132,"Beuran Hendricks
PBKS",0,3,1,0,0*,0.00,1,0.00,0,0,0,0,2014
