POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"David Warner
SRH",562,14,14,1,91,43.23,359,156.54,0,7,65,21,2015
2,"Lendl Simmons
MI",540,13,13,1,71,45.00,441,122.44,0,6,56,21,2015
3,"Ajinkya Rahane
RR",540,14,13,2,91*,49.09,413,130.75,0,4,53,13,2015
4,"AB de Villiers
RCB",513,16,14,3,133*,46.63,293,175.08,1,2,60,22,2015
5,"Virat Kohli
RCB",505,16,16,5,82*,45.90,386,130.82,0,3,35,23,2015
6,"Chris Gayle
RCB",491,14,14,2,117,40.91,333,147.44,1,2,39,38,2015
7,"Rohit Sharma
MI",482,16,16,2,98*,34.42,333,144.74,0,3,41,21,2015
8,"Shreyas Iyer
DC",439,14,14,1,83,33.76,342,128.36,0,4,41,21,2015
9,"Brendon McCullum
CSK",436,14,14,1,100*,33.53,280,155.71,1,2,51,23,2015
10,"Kieron Pollard
MI",419,16,14,3,70,38.09,256,163.67,0,2,28,28,2015
11,"JP Duminy
DC",414,14,13,3,78*,41.40,315,131.42,0,4,27,20,2015
12,"Dwayne Smith
CSK",399,16,16,0,62,24.93,335,119.10,0,2,52,16,2015
13,"Faf du Plessis
CSK",380,17,15,2,55,29.23,304,125.00,0,1,37,5,2015
14,"Suresh Raina
CSK",374,17,17,2,62,24.93,304,123.02,0,2,31,16,2015
15,"MS Dhoni
CSK",372,17,17,5,53,31.00,305,121.96,0,1,27,17,2015
16,"Robin Uthappa
KKR",364,13,13,1,80*,30.33,277,131.40,0,1,42,7,2015
17,"David Miller
PBKS",357,13,13,2,89*,32.45,266,134.21,0,2,21,21,2015
18,"Shikhar Dhawan
SRH",353,14,14,1,54,27.15,286,123.42,0,3,45,6,2015
19,"Shane Watson
RR",347,10,9,1,104*,43.37,257,135.01,1,1,37,14,2015
20,"Parthiv Patel
MI",339,14,14,1,59,26.07,246,137.80,0,2,47,5,2015
21,"Gautam Gambhir
KKR",327,13,13,0,60,25.15,278,117.62,0,3,41,4,2015
22,"Andre Russell
KKR",326,13,11,2,66,36.22,169,192.89,0,3,35,19,2015
23,"Yusuf Pathan
KKR",312,13,12,5,52,44.57,231,135.06,0,1,29,12,2015
24,"Steve Smith
RR",293,14,12,1,79*,26.63,221,132.57,0,2,33,3,2015
25,"Moises Henriques
SRH",287,9,9,2,74*,41.00,211,136.01,0,2,19,13,2015
26,"Ambati Rayudu
MI",281,15,14,5,53*,31.22,193,145.59,0,1,18,16,2015
27,"George Bailey
PBKS",259,13,13,2,61*,23.54,190,136.31,0,2,22,7,2015
28,"Murali Vijay
PBKS",251,11,11,0,39,22.81,228,110.08,0,0,27,8,2015
29,"Wriddhiman Saha
PBKS",249,14,13,0,42,19.15,197,126.39,0,0,16,10,2015
30,"Yuvraj Singh
DC",248,14,13,0,57,19.07,210,118.09,0,2,23,10,2015
31,"Manish Pandey
KKR",225,13,12,1,40,20.45,184,122.28,0,0,22,7,2015
32,"Mayank Agarwal
DC",213,10,10,1,68,23.66,177,120.33,0,2,23,7,2015
33,"Axar Patel
PBKS",206,14,12,3,40*,22.88,174,118.39,0,0,13,8,2015
34,"Sanju Samson
RR",204,14,11,1,76,20.40,163,125.15,0,1,16,8,2015
35,"Dwayne Bravo
CSK",195,17,14,5,62*,21.66,148,131.75,0,1,22,5,2015
36,"Kedar Jadhav
DC",189,14,12,4,63*,23.62,140,135.00,0,1,16,7,2015
37,"Eoin Morgan
SRH",187,9,9,1,63,23.37,151,123.84,0,1,11,11,2015
