POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"Kane Williamson
SRH",735,17,17,3,84,52.50,516,142.44,0,8,64,28,2018
2,"Rishabh Pant
DC",684,14,14,1,128*,52.61,394,173.60,1,5,68,37,2018
3,"KL Rahul
PBKS",659,14,14,2,95*,54.91,416,158.41,0,6,66,32,2018
4,"Ambati Rayudu
CSK",602,16,16,2,100*,43.00,402,149.75,1,3,53,34,2018
5,"Shane Watson
CSK",555,15,15,1,117*,39.64,359,154.59,2,2,44,35,2018
6,"Jos Buttler
RR",548,13,13,3,95*,54.80,353,155.24,0,5,52,21,2018
7,"Virat Kohli
RCB",530,14,14,3,92*,48.18,381,139.10,0,4,52,18,2018
8,"Suryakumar Yadav
MI",512,14,14,0,72,36.57,384,133.33,0,4,61,16,2018
9,"Dinesh Karthik
KKR",498,16,16,6,52,49.80,337,147.77,0,2,49,16,2018
10,"Shikhar Dhawan
SRH",497,16,16,3,92*,38.23,363,136.91,0,4,59,14,2018
11,"Chris Lynn
KKR",491,16,16,1,74,32.73,377,130.23,0,3,56,18,2018
12,"AB de Villiers
RCB",480,12,11,2,90*,53.33,275,174.54,0,6,39,30,2018
13,"MS Dhoni
CSK",455,16,15,9,79*,75.83,302,150.66,0,3,24,30,2018
14,"Suresh Raina
CSK",445,15,15,3,75*,37.08,336,132.44,0,4,46,12,2018
15,"Sanju Samson
RR",441,15,15,1,92*,31.50,320,137.81,0,3,30,19,2018
16,"Shreyas Iyer
DC",411,14,14,3,93*,37.36,310,132.58,0,4,29,21,2018
17,"Evin Lewis
MI",382,13,13,0,65,29.38,276,138.40,0,2,32,24,2018
18,"Ajinkya Rahane
RR",370,15,14,1,65*,28.46,313,118.21,0,1,39,5,2018
19,"Chris Gayle
PBKS",368,11,11,2,104*,40.88,252,146.03,1,3,30,27,2018
20,"Sunil Narine
KKR",357,16,16,0,75,22.31,188,189.89,0,2,40,23,2018
21,"Robin Uthappa
KKR",351,16,16,0,54,21.93,265,132.45,0,1,30,21,2018
22,"Andre Russell
KKR",316,16,14,3,88*,28.72,171,184.79,0,1,17,31,2018
23,"Nitish Rana
KKR",304,15,15,2,59,23.38,232,131.03,0,1,26,14,2018
24,"Karun Nair
PBKS",301,13,12,0,54,25.08,221,136.19,0,2,23,13,2018
25,"Rohit Sharma
MI",286,14,14,2,94,23.83,215,133.02,0,2,25,12,2018
26,"Manish Pandey
SRH",284,15,13,2,62*,25.81,246,115.44,0,3,22,5,2018
27,"Ishan Kishan
MI",275,14,12,0,62,22.91,184,149.45,0,2,22,17,2018
28,"Hardik Pandya
MI",260,13,13,4,50,28.88,195,133.33,0,1,20,11,2018
29,"Yusuf Pathan
SRH",260,15,13,4,45*,28.88,200,130.00,0,0,22,11,2018
30,"Mandeep Singh
RCB",252,14,13,3,47*,25.20,186,135.48,0,0,16,11,2018
31,"Prithvi Shaw
DC",245,9,9,0,65,27.22,160,153.12,0,2,27,10,2018
32,"Shakib Al Hasan
SRH",239,17,13,2,35,21.72,197,121.31,0,0,26,5,2018
33,"Krunal Pandya
MI",228,14,13,3,41*,22.80,157,145.22,0,0,22,10,2018
34,"Rahul Tripathi
RR",226,12,12,3,80*,25.11,167,135.32,0,1,18,8,2018
35,"Vijay Shankar
DC",212,13,11,7,54*,53.00,148,143.24,0,1,11,11,2018
36,"Shubman Gill
KKR",203,13,11,5,57*,33.83,139,146.04,0,1,22,5,2018
37,"Quinton de Kock
RCB",201,8,8,0,53,25.12,162,124.07,0,1,20,8,2018
38,"Ben Stokes
RR",196,13,13,1,45,16.33,161,121.73,0,0,13,6,2018
39,"Glenn Maxwell
DC",169,12,12,0,47,14.08,120,140.83,0,0,14,9,2018
40,"Faf du Plessis
CSK",162,6,6,1,67*,32.40,129,125.58,0,1,17,6,2018
41,"Parthiv Patel
RCB",153,6,6,1,53,30.60,109,140.36,0,1,20,4,2018
42,"Alex Hales
SRH",148,6,6,0,45,24.66,118,125.42,0,0,13,6,2018
43,"Dwayne Bravo
CSK",141,16,10,6,68,35.25,91,154.94,0,1,8,10,2018
44,"Aaron Finch
PBKS",134,10,9,1,46,16.75,100,134.00,0,0,6,8,2018
45,"Kieron Pollard
MI",133,9,8,1,50,19.00,100,133.00,0,1,10,7,2018
46,"Colin de Grandhomme
RCB",131,9,8,3,40,26.20,84,155.95,0,0,4,10,2018
47,"Brendon McCullum
RCB",127,6,6,0,43,21.16,88,144.31,0,0,16,6,2018
48,"Krishnappa Gowtham
RR",126,15,13,4,33*,14.00,64,196.87,0,0,9,9,2018
49,"Wriddhiman Saha
SRH",122,11,10,2,35,15.25,102,119.60,0,0,17,1,2018
50,"Jason Roy
DC",120,5,5,1,91*,30.00,94,127.65,0,1,9,7,2018
51,"Mayank Agarwal
PBKS",120,11,11,1,30,12.00,94,127.65,0,0,9,5,2018
52,"D'Arcy Short
RR",115,7,7,0,44,16.42,99,116.16,0,0,11,5,2018
53,"Sam Billings
CSK",108,10,8,0,56,13.50,78,138.46,0,1,8,5,2018
54,"Ravichandran Ashwin
PBKS",102,14,9,1,45,12.75,71,143.66,0,0,7,5,2018
55,"Marcus Stoinis
PBKS",99,7,7,3,29*,24.75,76,130.26,0,0,6,4,2018
56,"Ben Cutting
MI",96,9,6,2,37,24.00,58,165.51,0,0,5,8,2018
57,"Ravindra Jadeja
CSK",89,16,10,5,27*,17.80,74,120.27,0,0,3,4,2018
58,"Deepak Hooda
SRH",87,9,8,4,32*,21.75,81,107.40,0,0,2,3,2018
59,"Gautam Gambhir
DC",85,6,5,0,55,17.00,88,96.59,0,1,8,1,2018
60,"Axar Patel
PBKS",80,9,8,2,19,13.33,69,115.94,0,0,3,4,2018
61,"Moeen Ali
RCB",77,5,4,0,65,19.25,46,167.39,0,1,4,6,2018
62,"Carlos Brathwaite
SRH",75,4,4,1,43*,25.00,48,156.25,0,0,1,8,2018
63,"David Miller
PBKS",74,3,3,1,26,37.00,64,115.62,0,0,3,2,2018
64,"Washington Sundar
RCB",65,7,6,3,35,21.66,38,171.05,0,0,5,4,2018
65,"Yuvraj Singh
PBKS",65,8,6,0,20,10.83,73,89.04,0,0,6,2,2018
66,"Abhishek Sharma
DC",63,3,3,2,46*,63.00,33,190.90,0,0,3,5,2018
67,"Colin Munro
DC",63,5,5,0,33,12.60,41,153.65,0,0,7,4,2018
68,"Harshal Patel
DC",60,5,2,1,36*,60.00,33,181.81,0,0,1,6,2018
69,"Rashid Khan
SRH",59,17,7,2,34*,11.80,31,190.32,0,0,3,6,2018
70,"Heinrich Klaasen
RR",57,4,4,1,32,19.00,47,121.27,0,0,5,1,2018
