POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
1,"David Warner
SRH",641,14,14,3,126,58.27,452,141.81,1,4,63,26,2017
2,"Gautam Gambhir
KKR",498,16,16,4,76*,41.50,389,128.02,0,4,61,7,2017
3,"Shikhar Dhawan
SRH",479,14,14,1,77,36.84,376,127.39,0,3,53,9,2017
4,"Steve Smith
RPS",472,15,15,3,84*,39.33,387,121.96,0,3,38,12,2017
5,"Suresh Raina
GL",442,14,14,3,84,40.18,307,143.97,0,3,42,13,2017
6,"Hashim Amla
PBKS",420,10,10,3,104*,60.00,288,145.83,2,2,40,17,2017
7,"Manish Pandey
KKR",396,14,13,5,81*,49.50,308,128.57,0,2,28,12,2017
8,"Parthiv Patel
MI",395,16,16,0,70,24.68,293,134.81,0,2,49,8,2017
9,"Rahul Tripathi
RPS",391,14,14,0,93,27.92,267,146.44,0,2,43,17,2017
10,"Robin Uthappa
KKR",388,14,13,0,87,29.84,235,165.10,0,5,36,21,2017
11,"Sanju Samson
DC",386,14,14,0,102,27.57,273,141.39,1,2,32,19,2017
12,"Kieron Pollard
MI",385,17,16,3,70,29.61,276,139.49,0,3,26,22,2017
13,"Ajinkya Rahane
RPS",382,16,16,1,60,25.46,323,118.26,0,2,35,9,2017
14,"Rishabh Pant
DC",366,14,14,0,97,26.14,221,165.61,0,2,28,24,2017
15,"Dinesh Karthik
GL",361,14,13,3,65,36.10,259,139.38,0,2,30,11,2017
16,"Shreyas Iyer
DC",338,12,12,2,96,33.80,243,139.09,0,2,36,10,2017
17,"Nitish Rana
MI",333,13,12,1,62*,30.27,264,126.13,0,3,24,17,2017
18,"Rohit Sharma
MI",333,17,16,2,67,23.78,273,121.97,0,3,31,9,2017
19,"Manoj Tiwary
RPS",324,15,13,3,60,32.40,236,137.28,0,2,31,11,2017
20,"Brendon McCullum
GL",319,11,11,0,72,29.00,217,147.00,0,2,29,18,2017
21,"Ben Stokes
RPS",316,12,11,1,103*,31.60,221,142.98,1,1,22,15,2017
22,"Glenn Maxwell
PBKS",310,14,13,3,47,31.00,179,173.18,0,0,19,26,2017
23,"Virat Kohli
RCB",308,10,10,0,64,30.80,252,122.22,0,4,23,11,2017
24,"Aaron Finch
GL",299,13,13,1,72,24.91,180,166.11,0,2,25,19,2017
25,"Chris Lynn
KKR",295,7,7,1,93*,49.16,163,180.98,0,3,25,19,2017
26,"MS Dhoni
RPS",290,16,15,4,61*,26.36,250,116.00,0,1,15,16,2017
27,"Karun Nair
DC",281,14,13,0,64,21.61,226,124.33,0,1,39,6,2017
28,"Ishan Kishan
GL",277,11,10,0,61,27.70,206,134.46,0,1,29,13,2017
29,"Moises Henriques
SRH",277,12,11,5,55*,46.16,203,136.45,0,3,28,4,2017
30,"Jos Buttler
MI",272,10,10,0,77,27.20,177,153.67,0,1,27,15,2017
31,"Kedar Jadhav
RCB",267,13,13,1,69,22.25,186,143.54,0,1,25,10,2017
32,"Shaun Marsh
PBKS",264,9,8,0,84,33.00,194,136.08,0,2,36,5,2017
33,"Kane Williamson
SRH",256,7,7,1,89,42.66,169,151.47,0,2,20,10,2017
34,"Yuvraj Singh
SRH",252,12,11,2,70*,28.00,177,142.37,0,2,30,8,2017
35,"Hardik Pandya
MI",250,17,16,9,35*,35.71,160,156.25,0,0,11,20,2017
36,"Krunal Pandya
MI",243,13,11,4,47,34.71,179,135.75,0,0,24,7,2017
37,"Dwayne Smith
GL",239,12,12,1,74,21.72,156,153.20,0,2,32,8,2017
38,"Wriddhiman Saha
PBKS",234,14,11,1,93*,23.40,187,125.13,0,1,20,8,2017
39,"Manan Vohra
PBKS",229,11,9,0,95,25.44,159,144.02,0,1,23,9,2017
40,"Axar Patel
PBKS",227,14,13,5,44,28.37,162,140.12,0,0,11,11,2017
41,"Sunil Narine
KKR",224,16,14,1,54,17.23,130,172.30,0,1,34,10,2017
42,"AB de Villiers
RCB",216,9,9,1,89*,27.00,163,132.51,0,1,12,16,2017
43,"Chris Gayle
RCB",200,9,9,0,77,22.22,163,122.69,0,1,15,14,2017
44,"Mandeep Singh
RCB",188,11,10,0,52,18.80,177,106.21,0,1,21,4,2017
45,"Ravindra Jadeja
GL",158,12,10,6,28,39.50,113,139.82,0,0,13,4,2017
46,"Chris Morris
DC",154,9,9,4,52*,30.80,94,163.82,0,1,15,6,2017
47,"Travis Head
RCB",151,7,7,2,75*,30.20,108,139.81,0,1,9,6,2017
48,"Pawan Negi
RCB",144,12,10,2,35,18.00,111,129.72,0,0,10,7,2017
49,"Yusuf Pathan
KKR",143,15,11,3,59,17.87,115,124.34,0,1,9,6,2017
50,"Corey Anderson
DC",142,11,11,4,41*,20.28,123,115.44,0,0,8,9,2017
51,"Sam Billings
DC",138,6,6,0,55,23.00,104,132.69,0,1,19,1,2017
52,"Lendl Simmons
MI",137,7,7,0,66,19.57,112,122.32,0,2,10,8,2017
53,"Martin Guptill
PBKS",132,7,7,1,50*,22.00,88,150.00,0,1,17,5,2017
54,"Colin de Grandhomme
KKR",126,12,9,1,36,15.75,92,136.95,0,0,10,6,2017
55,"Suryakumar Yadav
KKR",105,10,7,1,31,17.50,88,119.31,0,0,8,3,2017
56,"Vijay Shankar
SRH",101,4,4,2,63*,50.50,75,134.66,0,1,12,1,2017
57,"Ambati Rayudu
MI",91,5,5,0,63,18.20,78,116.66,0,1,7,3,2017
58,"David Miller
PBKS",83,5,4,1,30*,27.66,80,103.75,0,0,4,4,2017
59,"Dan Christian
RPS",79,13,9,4,17*,15.80,49,161.22,0,0,5,5,2017
60,"Naman Ojha
SRH",79,14,5,1,34,19.75,65,121.53,0,0,2,3,2017
61,"Stuart Binny
RCB",78,8,7,2,18*,15.60,76,102.63,0,0,6,3,2017
62,"Deepak Hooda
SRH",78,10,6,3,19*,26.00,52,150.00,0,0,5,4,2017
63,"Pat Cummins
DC",77,12,9,4,24,15.40,53,145.28,0,0,5,4,2017
64,"Shane Watson
RCB",71,8,7,1,24,11.83,78,91.02,0,0,6,1,2017
65,"Eoin Morgan
PBKS",65,4,4,0,26,16.25,62,104.83,0,0,6,2,2017
