PLAYER,TYPE,PRICE PAID,Year
Iqbal Abdullah,All-Rounder,6500000,2014
Deepak Hooda,Bowler,4000000,2014
Dishant Yagnik,Wicket Keeper,3000000,2014
Kevon Cooper,All-Rounder,3000000,2014
Vikramjeet Malik,Bowler,2000000,2014
Ankit Nagendra Sharma,Bowler,1000000,2014
Rahul Tewatia,All-Rounder,1000000,2014
Ankush Bains,Wicket Keeper,1000000,2014
Amit Mishra,Bowler,1000000,2014
Pravin Tambe,Bowler,1000000,2014
Yuvraj Singh,All-Rounder,140000000,2014
Mitchell Starc,Bowler,50000000,2014
Albie Morkel,All-Rounder,24000000,2014
Varun Aaron,Bowler,20000000,2014
Ashok Dinda,Bowler,15000000,2014
Parthiv Patel,Wicket Keeper,14000000,2014
Muttiah Muralitharan,Bowler,10000000,2014
Ravi Rampaul,Bowler,9000000,2014
Nic Maddinson,Batsman,5000000,2014
Harshal Patel,Bowler,4000000,2014
Vijay Zol,Batsman,3000000,2014
Abu Nechim Ahmed,Bowler,3000000,2014
Sachin Rana,Bowler,2000000,2014
Shadab Jakati,Bowler,2000000,2014
Sandeep Warrier,Bowler,1000000,2014
Tanmay Mishra,Batsman,1000000,2014
Yogesh Takawale,Wicket Keeper,1000000,2014
Yuzvendra Singh Chahal,Bowler,1000000,2014
David Warner,Batsman,55000000,2014
Amit Mishra,Bowler,47500000,2014
Bhuvneshwar Kumar,Bowler,42500000,2014
Aaron Finch,Batsman,40000000,2014
Karn Sharma,Bowler,37500000,2014
Darren Sammy,All-Rounder,35000000,2014
Ishant Sharma,Bowler,26000000,2014
Irfan Pathan,All-Rounder,24000000,2014
Moises Henriques,All-Rounder,10000000,2014
KL Rahul,Batsman,10000000,2014
Parveez Rasool,All-Rounder,9500000,2014
Jason Holder,Bowler,7500000,2014
Venugopal Rao,Batsman,5500000,2014
Naman Ojha,Wicket Keeper,5000000,2014
Brendan Taylor,Wicket Keeper,3000000,2014
Prasanth Parameswaran,Bowler,3000000,2014
Amit Paunikar,Wicket Keeper,2000000,2014
Ashish Reddy,Bowler,2000000,2014
Srikkanth Anirudha,Batsman,2000000,2014
Ricky Bhui,Batsman,1000000,2014
Chama Milind,Bowler,1000000,2014
Manprit Juneja,Batsman,1000000,2014
Michael Hussey,Batsman,37500000,2015
Irfan Pathan,All-Rounder,36000000,2015
Rahul Sharma,Bowler,1200000,2015
Kyle Abbott,Bowler,1200000,2015
Andrew Tye,Bowler,1200000,2015
Pratyush Singh,All-Rounder,27000000,2015
Ankush Bains,Wicket Keeper,15600000,2015
Eklavya Dwivedi,Wicket Keeper,3000000,2015
Yuvraj Singh,Batsman,30000000,2015
Angelo Mathews,All-Rounder,18000000,2015
Zaheer Khan,Bowler,37500000,2015
Amit Mishra,Bowler,3000000,2015
Shreyas Iyer,Batsman,60000000,2015
Gurinder Sandhu,Bowler,27000000,2015
Jaydev Unadkat,Bowler,24000000,2015
Domnic Joseph Muthuswamy,Bowler,6000000,2015
Albie Morkel,All-Rounder,3000000,2015
Travis Head,Batsman,43500000,2015
Marcus Stoinis,All-Rounder,42000000,2015
C.M. Gautam,Wicket Keeper,40500000,2015
Kona Srikar Bharat,Wicket Keeper,24000000,2015
K.K. Jiyaz,Bowler,24000000,2015
Murali Vijay,Batsman,12600000,2015
Nikhil Shankar Naik,Wicket Keeper,1200000,2015
Yogesh Gowalkar,All-Rounder,31500000,2015
K.C. Cariappa,Bowler,24000000,2015
James Neesham,All-Rounder,18000000,2015
Brad Hogg,Bowler,17400000,2015
Aditya Garhwal,All-Rounder,9000000,2015
Sheldon Jackson,Batsman,6000000,2015
Sumit Narwal,All-Rounder,3000000,2015
Vaibhav Rawal,All-Rounder,40500000,2015
