POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
11,Cameron Green,452,16,16,7,100*,50.22,282,160.28,1,2,40,22,2023,MI,175000000.0,All-Rounder
12,Heinrich Klaasen,448,12,11,2,104,49.78,253,177.07,1,2,32,25,2023,SRH,52500000.0,Wicket-Keeper
24,Nicholas Pooran,358,15,15,3,62,29.83,207,172.94,0,2,26,26,2023,LSG,17400000.0,Wicket-Keeper
29,Ajinkya Rahane,326,14,11,1,71*,32.60,189,172.48,0,2,24,16,2023,CSK,1200000.0,Batter
36,Sam Curran,276,14,13,3,55,27.60,203,135.96,0,1,20,13,2023,PBKS,185000000.0,All-Rounder
39,Mayank Agarwal,270,10,10,0,83,27.00,210,128.57,0,1,29,6,2023,SRH,82500000.0,Batter
49,Phil Salt,218,9,9,1,87,27.25,133,163.9,0,2,24,10,2023,DC,37500000.0,Wicket-Keeper
50,Rilee Rossouw,209,9,9,2,82*,29.86,141,148.22,0,1,17,11,2023,DC,30000000.0,Batter
52,Harry Brook,190,11,11,2,100*,21.11,154,123.37,1,0,23,4,2023,SRH,132500000.0,Batter
56,Manish Pandey,160,10,9,0,50,17.78,146,109.58,0,1,15,3,2023,DC,18000000.0,Batter
62,Sikandar Raza,139,7,7,2,57,27.80,98,141.83,0,1,10,6,2023,PBKS,5000000.0,All-Rounder
72,Anmolpreet Singh,105,4,4,0,36,26.25,82,128.04,0,0,15,2,2023,SRH,2000000.0,Batter
74,Prerak Mankad,93,5,5,2,64*,31.00,72,129.16,0,1,12,2,2023,LSG,1200000.0,All-Rounder
80,Harpreet Bhatia,76,3,3,0,41,25.33,59,128.81,0,0,8,3,2023,PBKS,4000000.0,Batter
82,Vivrant Sharma,69,3,1,0,69,69.00,47,146.8,0,1,9,2,2023,SRH,26000000.0,All-Rounder
96,Vishnu Vinod,37,3,3,0,30,12.33,31,119.35,0,0,2,2,2023,MI,2000000.0,Wicket-Keeper
103,Piyush Chawla,25,16,4,2,18,12.50,22,113.63,0,0,1,1,2023,MI,5000000.0,Bowler
107,Adil Rashid,22,2,2,0,18,11.00,16,137.5,0,0,2,1,2023,SRH,20000000.0,Bowler
109,David Wiese,21,3,3,2,12*,21.00,11,190.9,0,0,0,3,2023,KKR,24000000.0,All-Rounder
110,Mayank Markande,21,10,3,3,18*,-,13,161.53,0,0,2,1,2023,SRH,5000000.0,Bowler
116,Amit Mishra,19,7,1,0,19,19.00,30,63.33,0,0,2,0,2023,LSG,6000000.0,Bowler
119,Akeal Hosein,16,1,1,1,16*,-,10,160.0,0,0,1,1,2023,SRH,10000000.0,Bowler
124,Ben Stokes,15,2,2,0,8,7.50,14,107.14,0,0,2,0,2023,CSK,37500000.0,All-Rounder
125,Mandeep Singh,14,3,3,0,12,4.67,16,87.5,0,0,0,1,2023,KKR,1200000.0,Batter
129,Jason Holder,12,8,3,1,11,6.00,11,109.09,0,0,0,1,2023,RR,57500000.0,All-Rounder
132,Sanvir Singh,11,2,2,1,7,11.00,9,122.22,0,0,1,1,2023,SRH,2000000.0,All-Rounder
134,Joe Root,10,3,1,0,10,10.00,15,66.66,0,0,1,0,2023,RR,10000000.0,Batter
135,Adam Zampa,10,6,3,0,7,3.33,16,62.5,0,0,0,0,2023,RR,15000000.0,Bowler
136,Jaydev Unadkat,9,3,1,0,9,9.00,7,128.57,0,0,1,0,2023,LSG,25500000.0,Bowler
138,Mukesh Kumar,7,10,3,3,6*,-,9,77.77,0,0,0,0,2023,DC,3000000.0,Bowler
146,Litton Das,4,1,1,0,4,4.00,4,100.0,0,0,1,0,2023,KKR,31500000.0,Wicket-Keeper
149,Vaibhav Arora,3,5,2,2,2*,-,2,150.0,0,0,0,0,2023,KKR,12600000.0,Bowler
153,Swapnil Singh,2,2,1,1,2*,-,4,50.0,0,0,0,0,2023,LSG,6000000.0,All-Rounder
157,Ishant Sharma,1,8,1,1,1*,-,1,100.0,0,0,0,0,2023,DC,3000000.0,Bowler
160,Mohit Rathee,1,1,1,1,1*,-,2,50.0,0,0,0,0,2023,PBKS,2000000.0,All-Rounder
4,Travis Head,567,15,15,1,102,40.50,296,191.55,1,4,64,32,2024,SRH,68000000.0,Batter
22,Tristan Stubbs,378,14,13,6,71*,54.00,198,190.9,0,3,24,26,2024,DC,3000000.0,Wicket-Keeper
25,Shashank Singh,354,14,14,6,68*,44.25,215,164.65,0,2,28,21,2024,PBKS,2000000.0,Batter
33,Daryl Mitchell,318,13,13,2,63,28.91,223,142.6,0,2,27,10,2024,CSK,37500000.0,All-Rounder
46,Rachin Ravindra,222,10,10,0,61,22.20,138,160.86,0,1,22,12,2024,CSK,1200000.0,All-Rounder
50,Rilee Rossouw,211,8,8,0,61,26.38,116,181.89,0,1,25,11,2024,PBKS,80000000.0,Batter
54,Ashutosh Sharma,189,11,9,2,61,27.00,113,167.25,0,1,10,15,2024,PBKS,2000000.0,All-Rounder
57,Shai Hope,183,9,9,1,41,22.88,122,150.0,0,0,12,12,2024,DC,37500000.0,Wicket-Keeper
62,Angkrish Raghuvanshi,163,10,7,0,54,23.29,105,155.23,0,1,16,8,2024,KKR,3000000.0,Batter
66,Naman Dhir,140,7,7,1,62*,23.33,79,177.21,0,1,12,10,2024,MI,2000000.0,All-Rounder
67,Pat Cummins,136,16,10,4,35*,22.67,95,143.15,0,0,9,8,2024,SRH,205000000.0,All-Rounder
71,Shahrukh Khan,127,7,7,0,58,18.14,75,169.33,0,1,9,9,2024,GT,3000000.0,All-Rounder
72,Ramandeep Singh,125,15,9,5,35,31.25,62,201.61,0,0,5,12,2024,KKR,40500000.0,All-Rounder
77,Rovman Powell,103,10,7,1,27,17.17,68,151.47,0,0,10,6,2024,RR,74000000.0,Batter
95,Manish Pandey,42,1,1,0,42,42.00,31,135.48,0,0,2,2,2024,KKR,17400000.0,Batter
96,Azmatullah Omarzai,42,7,4,0,17,10.50,33,127.27,0,0,2,2,2024,GT,24000000.0,All-Rounder
99,Swapnil Singh,37,7,5,3,15*,18.50,21,176.19,0,0,3,3,2024,RCB,2000000.0,All-Rounder
100,Mohammad Nabi,35,7,5,1,23,8.75,31,112.9,0,0,2,2,2024,MI,15000000.0,All-Rounder
101,Shubham Dubey,33,4,3,1,25,16.50,19,173.68,0,0,3,2,2024,RR,58000000.0,Batter
107,Jaydev Unadkat,24,11,5,2,8*,8.00,26,92.3,0,0,2,1,2024,SRH,16000000.0,Bowler
112,Shardul Thakur,21,9,3,2,17,21.00,17,123.52,0,0,2,1,2024,CSK,1200000.0,All-Rounder
113,Ashton Turner,21,2,2,0,16,10.50,18,116.66,0,0,0,2,2024,LSG,1200000.0,Batter
118,Sumit Kumar,18,4,3,1,9*,9.00,24,75.0,0,0,2,1,2024,DC,18000000.0,All-Rounder
123,Gerald Coetzee,14,10,5,1,8,3.50,22,63.63,0,0,0,1,2024,MI,50000000.0,All-Rounder
125,Harshal Patel,13,14,4,1,12,4.33,19,68.42,0,0,1,1,2024,PBKS,117500000.0,All-Rounder
129,Umesh Yadav,12,7,2,1,10*,12.00,15,80.0,0,0,0,1,2024,GT,43500000.0,Bowler
134,Mitchell Starc,9,14,5,3,6*,4.50,11,81.81,0,0,1,0,2024,KKR,1200000.0,Bowler
138,Spencer Johnson,6,5,3,3,5*,-,7,85.71,0,0,1,0,2024,GT,6000000.0,Bowler
149,Kumar Kushagra,3,4,3,0,2,1.00,7,42.85,0,0,0,0,2024,DC,15600000.0,Wicket-Keeper
151,Ricky Bhui,3,2,2,0,3,1.50,9,33.33,0,0,0,0,2024,DC,60000000.0,Wicket-Keeper
154,Jhye Richardson,2,1,1,0,2,2.00,2,100.0,0,0,0,0,2024,DC,3000000.0,Bowler
155,Anshul Kamboj,2,3,1,1,2*,-,2,100.0,0,0,0,0,2024,MI,2000000.0,All-Rounder
162,Lockie Ferguson,1,7,1,0,1,1.00,1,100.0,0,0,0,0,2024,RCB,20000000.0,Bowler
165,Manav Suthar,1,1,1,0,1,1.00,2,50.0,0,0,0,0,2024,GT,12600000.0,Bowler
