POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
75,"Luke Pomersbach
RCB",51,5,4,0,29,12.75,39,130.76,0,0,4,2,2011
76,"Sourav Ganguly
PWI",50,4,3,1,32*,25.00,59,84.74,0,0,3,2,2011
77,"Mitchell Marsh
PWI",50,5,3,1,37,25.00,49,102.04,0,0,2,3,2011
78,"Vinay Kumar
KTK",50,13,7,1,18,8.33,47,106.38,0,0,4,1,2011
79,"Amit Paunikar
RR",49,4,4,0,20,12.25,57,85.96,0,0,9,0,2011
80,"Callum Ferguson
PWI",48,5,4,2,16,24.00,54,88.88,0,0,6,0,2011
81,"Piyush Chawla
PBKS",48,12,6,3,15,16.00,55,87.27,0,0,2,2,2011
82,"Aaron Finch
DC",47,6,6,0,25,7.83,46,102.17,0,0,3,3,2011
83,"Mandeep Singh
PBKS",47,6,5,1,15*,11.75,41,114.63,0,0,4,1,2011
84,"Raiphi Gomez
KTK",46,11,8,3,26*,9.20,50,92.00,0,0,4,1,2011
85,"VVS Laxman
KTK",44,3,3,0,36,14.66,42,104.76,0,0,3,2,2011
86,"Sunny Singh
PBKS",43,6,5,1,20,10.75,31,138.70,0,0,6,1,2011
87,"Graeme Smith
PWI",42,4,4,0,24,10.50,51,82.35,0,0,6,0,2011
88,"Mohammad Kaif
RCB",41,8,4,1,15,13.66,33,124.24,0,0,5,0,2011
89,"Morne Morkel
DC",40,11,5,3,16*,20.00,25,160.00,0,0,3,2,2011
90,"Stuart Binny
RR",37,6,2,1,30,37.00,31,119.35,0,0,2,1,2011
91,"Wayne Parnell
PWI",37,8,5,2,16,12.33,39,94.87,0,0,2,1,2011
92,"Dale Steyn
DEC",36,12,5,1,13,9.00,35,102.85,0,0,3,0,2011
93,"Cheteshwar Pujara
RCB",34,7,3,0,25,11.33,31,109.67,0,0,4,0,2011
94,"Asad Pathan
RCB",33,6,5,1,14,8.25,16,206.25,0,0,5,2,2011
95,"Ryan Harris
PBKS",31,13,7,2,17,6.20,39,79.48,0,0,3,0,2011
96,"Shreevats Goswami
KKR",29,5,4,0,22,7.25,29,100.00,0,0,5,0,2011
97,"Shakib Al Hasan
KKR",29,7,3,1,26,14.50,22,131.81,0,0,4,0,2011
98,"Ishank Jaggi
DEC",28,2,2,0,25,14.00,37,75.67,0,0,3,0,2011
99,"Abhimanyu Mithun
RCB",27,12,6,3,11,9.00,20,135.00,0,0,3,1,2011
100,"Praveen Kumar
PBKS",27,13,7,4,15*,9.00,31,87.09,0,0,2,1,2011
101,"Nathan McCullum
PWI",26,2,2,1,15,26.00,22,118.18,0,0,0,1,2011
102,"Owais Shah
KTK",26,3,2,0,23,13.00,15,173.33,0,0,1,2,2011
103,"Rajagopal Sathish
MI",25,9,3,1,18*,12.50,34,73.52,0,0,1,0,2011
104,"Rajat Bhatia
KKR",25,14,6,3,11,8.33,22,113.63,0,0,3,0,2011
105,"Rahul Sharma
PWI",24,14,5,2,13,8.00,21,114.28,0,0,1,2,2011
106,"Bipul Sharma
PBKS",23,4,3,2,16*,23.00,18,127.77,0,0,1,0,2011
107,"Thisara Perera
KTK",23,4,2,0,22,11.50,27,85.18,0,0,4,0,2011
108,"Daniel Vettori
RCB",23,13,4,3,18*,23.00,28,82.14,0,0,1,1,2011
109,"Matthew Wade
DC",22,3,3,0,11,7.33,33,66.66,0,0,0,0,2011
110,"Colin Ingram
DC",21,3,3,1,13*,10.50,26,80.76,0,0,2,0,2011
111,"Zaheer Khan
RCB",21,15,2,0,21,10.50,24,87.50,0,0,2,0,2011
112,"Faiz Fazal
RR",19,2,2,0,16,9.50,19,100.00,0,0,3,0,2011
113,"Y Gnaneswara Rao
KTK",19,2,1,0,19,19.00,17,111.76,0,0,3,0,2011
114,"Brad Haddin
KKR",18,1,1,0,18,18.00,11,163.63,0,0,2,1,2011
115,"Sachin Rana
PWI",18,2,1,0,18,18.00,16,112.50,0,0,2,0,2011
116,"Johan van der Wath
RCB",18,3,3,1,14*,9.00,16,112.50,0,0,1,1,2011
117,"Kedar Jadhav
KTK",18,6,4,1,12,6.00,23,78.26,0,0,1,0,2011
118,"Dishant Yagnik
RR",16,7,4,3,10*,16.00,22,72.72,0,0,1,0,2011
119,"Syed Mohammad
RCB",15,5,2,2,13*,0.00,12,125.00,0,0,2,0,2011
120,"Iqbal Abdulla
KKR",15,15,2,2,12*,0.00,12,125.00,0,0,1,0,2011
121,"Laxmi Ratan Shukla
KKR",14,1,1,0,14,14.00,10,140.00,0,0,2,0,2011
122,"Harpreet Singh
PWI",14,2,2,1,13,14.00,20,70.00,0,0,0,0,2011
123,"Roelof van der Merwe
DC",14,4,4,4,8*,0.00,16,87.50,0,0,1,0,2011
124,"Balachandra Akhil
KTK",13,1,1,0,13,13.00,9,144.44,0,0,0,1,2011
125,"Sreenath Aravind
RCB",13,13,2,2,11*,0.00,8,162.50,0,0,2,0,2011
