PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Ashok Dinda,4,9,3,2,2*,4.0,12,33.33,0,0,0,0,2014,RCB,15000000.0,Bowler
Amit Mishra,4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,SRH,1000000.0,Bowler
Amit Mishra,4,10,2,1,4*,4.0,7,57.14,0,0,0,0,2014,SRH,47500000.0,Bowler
Morne Morkel,4,12,2,2,4*,0.0,3,133.33,0,0,0,0,2014,KKR,28000000.0,Bowler
Mohammad Shami,3,12,4,2,1*,1.5,7,42.85,0,0,0,0,2014,DC,42000000.0,Bowler
Siddarth Kaul,2,5,1,1,2*,0.0,2,100.0,0,0,0,0,2014,DC,6000000.0,Bowler
Wayne Parnell,2,8,2,1,2,2.0,2,100.0,0,0,0,0,2014,DC,3000000.0,Bowler
Sandeep Sharma,2,11,1,1,2*,0.0,5,40.0,0,0,0,0,2014,PBKS,8500000.0,Bowler
Umesh Yadav,2,12,1,0,2,2.0,4,50.0,0,0,0,0,2014,KKR,26000000.0,Bowler
Vikramjeet Malik,1,1,1,1,1*,0.0,2,50.0,0,0,0,0,2014,RR,2000000.0,Bowler
Kane Richardson,1,7,1,0,1,1.0,2,50.0,0,0,0,0,2014,RR,10000000.0,Bowler
Jaydev Unadkat,1,9,2,1,1*,1.0,6,16.66,0,0,0,0,2014,DC,12600000.0,Bowler
Lakshmipathy Balaji,1,9,2,1,1*,1.0,3,33.33,0,0,0,0,2014,PBKS,18000000.0,Bowler
Jasprit Bumrah,1,11,2,2,1*,0.0,3,33.33,0,0,0,0,2014,MI,12000000.0,Bowler
Bhuvneshwar Kumar,1,14,2,1,1,1.0,4,25.0,0,0,0,0,2014,SRH,42500000.0,Bowler
Mohit Sharma,1,16,1,1,1*,0.0,3,33.33,0,0,0,0,2014,CSK,1200000.0,Bowler
Beuran Hendricks,0,3,1,0,0*,0.0,1,0.0,0,0,0,0,2014,PBKS,18000000.0,Bowler
