PLAYER, RUNS, MAT, INNS, NO, HS, AVG, BF, SR,100,50, 4S, 6S, Year, TEAM, Price, TYPE, nid, Wicket
Kane Richardson,1,7,1,0,1,1,2,50,0,0,0,0,2014, RR,10000000, Bowler, krichardson,9
Jaydev Unadkat,1,9,2,1, 1*,1,6,16.66,0,0,0,0,2014, DC,12600000, Bowler, junadkat,9
Lakshmipathy Balaji,1,9,2,1, 1*,1,3,33.33,0,0,0,0,2014, PBKS,18000000, Bowler, lbalaji,12
Jasprit Bumrah,1,11,2,2, 1*,0,3,33.33,0,0,0,0,2014, MI,12000000, Bowler, jbumrah,5
Bhuvneshwar Kumar,1,14,2,1,1,1,4,25,0,0,0,0,2014, SRH,42500000, Bowler, bkumar,20
Mohit Sharma,1,16,1,1, 1*,0,3,33.33,0,0,0,0,2014, CSK,1200000, Bowler, msharma,23
Beuran Hendricks,0,3,1,0, 0*,0,1,0,0,0,0,0,2014, PBKS,18000000, Bowler, bhendricks,4
Praveen Kumar,17,12,4,1,12,5.66,25,68,0,0,1,0,2015, SRH,22000000, Bowler, pkumar,7
Mitchell McClenaghan,13,12,3,2, 12*,13,6,216.66,0,0,0,2,2015, MI,6000000, Bowler, mmcclenaghan,18
Amit Mishra,8,12,4,2,4,4,12,66.66,0,0,0,0,2015, DC,3000000, Bowler, amishra,9
Juan Theron,1,1,1,1, 1*,0,1,100,0,0,0,0,2015, RR,3000000, Bowler, jtheron,1
Mohit Sharma,32,14,6,2,15,8,26,123.07,0,0,3,1,2016, PBKS,6000000, Bowler, msharma,13
Tim Southee,30,11,4,1,25,10,19,157.89,0,0,1,2,2016, MI,25000000, Bowler, tsouthee,9
Praveen Kumar,28,16,7,3,15,7,27,103.7,0,0,4,0,2016, GL,24000000, Bowler, pkumar,9
Dhawal Kulkarni,23,14,5,3, 6*,11.5,15,153.33,0,0,2,0,2016, GL,42000000, Bowler, dkulkarni,18
Kyle Abbott,13,5,3,2, 12*,13,8,162.5,0,0,0,1,2016, PBKS,6000000, Bowler, kabbott,2
Pravin Tambe,7,7,1,1, 7*,0,19,36.84,0,0,1,0,2016, GL,24000000, Bowler, ptambe,5
Amit Mishra,4,14,2,0,3,2,14,28.57,0,0,0,0,2016, DC,17400000, Bowler, amishra,13
Kane Richardson,1,4,1,1, 1*,0,1,100,0,0,0,0,2016, RCB,20000000, Bowler, krichardson,7
Ashish Nehra,1,8,2,2, 1*,0,1,100,0,0,0,0,2016, SRH,55000000, Bowler, anehra,9
Adam Zampa,0,5,1,0, 0*,0,1,0,0,0,0,0,2016, RPS,3000000, Bowler, azampa,12
Shivil Kaushik,0,7,2,1, 0*,0,1,0,0,0,0,0,2016, GL,9000000, Bowler, skaushik,6
Kagiso Rabada,55,6,3,0,44,18.33,64,85.93,0,0,5,1,2017, DC,37500000, Bowler, krabada,6
Basil Thampi,28,12,5,5, 13*,0,28,100,0,0,1,1,2017, GL,37500000, Bowler, bthampi,11
Aniket Choudhary,25,5,3,2, 15*,25,20,125,0,0,1,1,2017, RCB,20000000, Bowler, achoudhary,5
Mitchell Johnson,20,5,3,3, 13*,0,17,117.64,0,0,1,1,2017, MI,20000000, Bowler, mjohnson,7
Nathan Coulter-Nile,14,8,3,0,6,4.66,12,116.66,0,0,0,2,2017, KKR,3000000, Bowler, ncoulter-nile,15
Tymal Mills,8,5,3,0,6,2.66,11,72.72,0,0,0,1,2017, RCB,120000000, Bowler, tmills,5
Trent Boult,5,6,1,1, 5*,0,8,62.5,0,0,0,0,2017, KKR,9000000, Bowler, tboult,5
Varun Aaron,4,6,2,1,4,4,10,40,0,0,0,0,2017, PBKS,24000000, Bowler, vaaron,7
Rahul Chahar,3,3,1,1, 3*,0,2,150,0,0,0,0,2017, RPS,1000000, Bowler, rchahar,2
Jaydev Unadkat,2,12,2,2, 2*,0,5,40,0,0,0,0,2017, RPS,3000000, Bowler, junadkat,24
Lockie Ferguson,1,4,1,1, 1*,0,1,100,0,0,0,0,2017, RPS,5000000, Bowler, lferguson,3
Munaf Patel,0,2,1,0, 0*,0,1,0,0,0,0,0,2017, GL,27000000, Bowler, mpatel,1
Krishnappa Gowtham,126,15,13,4, 33*,14,64,196.87,0,0,9,9,2018, RR,62000000, Bowler, kgowtham,11
Tim Southee,52,8,4,2, 36*,26,46,113.04,0,0,5,1,2018, RCB,10000000, Bowler, tsouthee,5
Jaydev Unadkat,49,15,7,3,26,12.25,38,128.94,0,0,6,1,2018, RR,115000000, Bowler, junadkat,11
Andrew Tye,32,14,8,2,14,5.33,38,84.21,0,0,2,1,2018, PBKS,72000000, Bowler, atye,24
Harbhajan Singh,29,13,3,0,19,9.66,36,80.55,0,0,3,1,2018, CSK,3000000, Bowler, hsingh,7
Piyush Chawla,27,15,7,3,12,6.75,34,79.41,0,0,1,1,2018, KKR,42000000, Bowler, pchawla,14
Mohammed Siraj,25,11,4,2,14,12.5,22,113.63,0,0,2,1,2018, RCB,26000000, Bowler, msiraj,11
Mayank Markande,21,14,6,4, 7*,10.5,24,87.5,0,0,2,0,2018, MI,2000000, Bowler, mmarkande,15
Mitchell Johnson,16,6,2,2, 12*,0,11,145.45,0,0,2,0,2018, KKR,20000000, Bowler, mjohnson,2
Mohit Sharma,10,9,4,3, 4*,10,13,76.92,0,0,1,0,2018, PBKS,24000000, Bowler, msharma,7
Mohammad Shami,7,4,1,0,7,7,6,116.66,0,0,1,0,2018, DC,9000000, Bowler, mshami,3
Shahbaz Nadeem,6,6,1,1, 6*,0,8,75,0,0,0,0,2018, DC,24000000, Bowler, snadeem,3
Dhawal Kulkarni,6,8,2,1, 3*,6,7,85.71,0,0,0,0,2018, RR,7500000, Bowler, dkulkarni,4
Anureet Singh,3,3,1,1, 3*,0,4,75,0,0,0,0,2018, RR,3000000, Bowler, asingh,1
Basil Thampi,3,4,2,1,3,3,6,50,0,0,0,0,2018, SRH,9500000, Bowler, bthampi,5
Umesh Yadav,3,14,5,1, 1*,0.75,11,27.27,0,0,0,0,2018, RCB,42000000, Bowler, uyadav,20
Siddarth Kaul,3,17,4,1,2,1,14,21.42,0,0,0,0,2018, SRH,38000000, Bowler, skaul,21
Imran Tahir,2,6,1,1, 2*,0,2,100,0,0,0,0,2018, CSK,3000000, Bowler, itahir,6
Ben Laughlin,1,7,2,1, 1*,1,4,25,0,0,0,0,2018, RR,5000000, Bowler, blaughlin,9
Mustafizur Rahman,1,7,2,1,1,1,3,33.33,0,0,0,0,2018, MI,22000000, Bowler, mrahman,7
Amit Mishra,1,10,1,1, 1*,0,2,50,0,0,0,0,2018, DC,31500000, Bowler, amishra,12
Sandeep Sharma,0,12,3,1, 0*,0,4,0,0,0,0,0,2018, SRH,30000000, Bowler, ssharma,12
Trent Boult,0,14,1,0, 0*,0,2,0,0,0,0,0,2018, DC,3000000, Bowler, tboult,18
Ishant Sharma,10,13,3,3, 10*,0,3,333.33,0,0,1,1,2019, DC,15600000, Bowler, isharma,13
Varun Aaron,3,5,1,1, 3*,0,7,42.85,0,0,0,0,2019, RR,24000000, Bowler, vaaron,4
Harry Gurney,1,8,1,1, 1*,0,5,20,0,0,0,0,2019, KKR,9000000, Bowler, hgurney,7
