iter	RMSE
217	18281012.88
218	18241695.79
219	18233804.14
220	18219531.74
221	18153459.62
222	18146385.32
223	18117462.16
224	18100413.04
225	18079881.36
226	18049964.18
227	17996793.37
228	17951329.86
229	17934475.07
230	17903818.35
231	17896250.26
232	17872681.02
233	17842919.98
234	17839423.3
235	17816798.47
236	17798336.23
237	17790432.73
238	17746735.18
239	17725196.14
240	17720091.15
241	17710482.06
242	17696757.61
243	17663732.95
244	17617712.5
245	17578014.25
246	17571566.84
247	17563630.57
248	17536946.07
249	17511021.95
250	17475357.54
251	17463319.34
252	17450788.17
253	17435110.31
254	17423231.44
255	17380241.82
256	17374002.37
257	17366695.87
258	17340136.89
259	17338286.84
260	17322871.51
261	17318067.5
262	17310014.08
263	17298882.56
264	17288502.59
265	17256862.76
266	17223413.41
267	17197608.52
268	17183278.83
269	17172018.44
270	17127212.52
271	17119981.91
272	17113008.23
273	17079605.12
274	17047771.47
275	17017302.25
276	17010064.15
277	16994767.34
278	16963344.15
279	16943174.35
280	16910875.29
281	16904895.95
282	16888889.01
283	16873536.92
284	16854188.11
285	16830595.75
286	16776141.5
287	16765423.38
288	16729789.39
289	16707605.91
290	16694765.56
291	16668277.27
292	16633448.94
293	16624344.6
294	16618917.85
295	16575115.25
296	16542152
297	16535321.39
298	16528635.54
299	16491834.83
300	16469018.73
301	16461469.59
302	16436085.31
303	16385013.08
304	16361255.33
305	16354562.93
306	16309970.57
307	16258807.43
308	16248347.48
309	16230371.38
310	16220357.2
311	16196622.87
312	16155750.13
313	16144346.55
314	16121852.83
315	16099922.5
316	16048190.49
317	16013978.48
318	15989786.5
319	15970262.76
320	15924381.03
321	15902770.2
322	15857784.53
323	15822128.77
324	15811019.05
325	15804769.01
326	15783125.49
327	15762003.16
328	15750479.66
329	15709894.72
330	15703320.98
331	15656477.91
332	15639345.74
333	15634153.62
334	15621043.67
335	15578830.21
336	15562500.42
337	15552550.26
338	15532041.22
339	15521407.61
340	15511688.89
341	15488415.59
342	15444042.13
343	15399063.01
344	15388014.06
345	15363398.49
346	15311702.86
347	15280457.77
348	15244899.35
349	15228882.04
350	15195831.59
351	15162875.96
352	15157707.64
353	15114190.59
354	15108529.4
355	15089498.86
356	15058208.71
357	15039496.82
358	15013230.69
359	14997209.56
360	14974957.11
361	14953867.64
362	14943966.3
363	14906121.7
364	14866320.91
365	14845217.51
366	14820057.51
367	14800715.18
368	14770183.25
369	14741553.41
370	14736799.72
371	14691229.78
372	14681568.02
373	14679476.88
374	14659067.24
375	14653058.28
376	14648314.97
377	14612872.77
378	14592834.84
379	14553205.78
380	14525568.07
381	14513228.46
382	14504164.85
383	14458575.78
384	14423224.54
385	14401162.95
386	14376611.02
387	14364636.03
388	14323860.54
389	14299758.72
390	14279941.25
391	14264825.56
392	14229869.42
393	14200844.95
394	14191860.48
395	14154109
396	14146865.1
397	14135903.28
398	14100263.84
399	14079153.33
400	14072387
401	14067734.6
402	14022114.63
403	14008516.67
404	13970126.53
405	13946387.57
406	13924860.11
407	13897211.63
408	13879139.99
409	13831805.8
410	13793916.98
411	13775879.51
412	13757612.99
413	13744702.77
414	13718139.45
415	13692070.08
416	13672625.88
417	13637425.01
418	13605381.42
419	13597541.84
420	13577698.13
421	13543198.1
422	13539127.8
423	13535879.71
424	13512584.6
425	13472811.79
426	13467596.2
427	13448819.69
428	13444244.94
429	13421471.35
430	13415148.84
431	13381963.99
432	13369218.25
433	13364231.06
434	13349159.27
435	13334016.61
436	13304246.82
437	13267743.35
438	13265511.87
439	13255907.53
440	13249670.41
441	13234964.23
442	13226275.53
443	13193230.7
444	13185635.76
445	13176148.39
446	13160884.25
447	13157182.89
448	13110730.2
449	13103593.6
450	13096194.99
451	13087520
452	13062252.99
453	13057422.8
454	13053205.04
455	13044375.1
456	13011644.01
457	12985979.18
458	12966403.14
459	12961065.79
460	12925881.24
461	12886471.55
462	12867800.96
463	12835673.73
464	12828665.18
465	12822917.26
466	12812178.17
467	12804354
468	12800515.54
469	12782250.32
470	12773568.98
471	12770580.17
472	12745887.19
473	12743344.04
474	12717619.17
475	12708873.59
476	12678434.85
477	12660148.83
478	12636725.78
479	12624600.09
480	12613221.05
481	12590418.78
482	12576389.76
483	12571519.73
484	12554955.63
485	12546392.76
486	12532667.02
487	12516043.72
488	12490838.32
489	12482378.86
490	12470648.81
491	12465137.63
492	12443377.63
493	12435454.83
494	12427433.53
495	12397804.49
496	12395000.65
497	12364401.5
498	12339751.62
499	12329068.9
500	12321795.25
501	12303076.05
502	12292136.29
503	12282257.31
504	12278410.62
505	12261695.56
506	12256295.76
507	12244961.98
508	12215130.31
509	12203976.67
510	12174109.83
511	12155547.88
512	12152363.62
513	12144012.98
514	12119957.89
515	12113393.34
516	12097916.45
517	12085358.07
518	12058248.96
519	12040981.6
520	12008964.69
521	11991933.17
522	11960410.33
523	11937321.53
524	11927967.69
525	11909907.35
526	11899269.11
527	11870048.55
528	11866798.28
529	11850807.24
530	11840922.37
531	11821821.95
532	11815636.51
533	11806333.97
534	11802797.02
535	11774610.86
536	11757217.42
537	11755578.14
538	11732481.22
539	11709833.09
540	11685519.44
541	11656563.23
542	11645402.51
543	11617680.06
544	11614003.04
545	11611217.82
546	11606234.39
547	11602567.1
548	11575495.08
549	11552721.41
550	11538131.92
551	11515882.38
552	11490749.36
553	11484132.98
554	11457489.56
555	11432633.22
556	11430747.88
557	11424260.71
558	11392653.94
559	11368636.94
560	11345676.44
561	11319275.89
562	11316413.17
563	11305444.07
564	11292735.49
565	11266105.82
566	11229802.25
567	11228290.13
568	11214548.56
569	11203419.5
570	11200294
571	11196918.55
572	11189482.57
573	11181929.27
574	11159689.64
575	11157140.58
576	11134465.37
577	11115245.85
578	11107936.43
579	11082983.81
580	11065160.71
581	11043384.94
582	11018168.76
583	10996797.05
584	10990454.8
585	10976020.08
586	10968038.11
587	10965272.54
588	10954394.88
589	10953803.27
590	10946546.01
591	10944585.22
592	10929139.35
593	10901190.33
594	10885131.33
595	10854492.04
596	10832213.45
597	10817203.32
598	10804379.47
599	10797369.01
600	10774083.68
601	10763438.31
602	10741178.61
603	10725200.42
604	10699838.04
605	10675738.21
606	10649698.97
607	10625047.5
608	10603962.1
609	10581321.72
610	10570408.95
611	10549624.98
612	10523801.46
613	10512866.02
614	10489699.71
615	10483766.04
616	10457987.22
617	10437418.13
618	10428824.66
619	10418563.07
620	10411563.52
621	10400560.53
622	10382126.87
623	10379678.18
624	10361587.34
625	10352978.33
626	10333212.99
627	10329743.8
628	10310396.49
629	10282841.34
630	10277656.05
631	10263040.5
632	10247808.98
633	10226085.67
634	10211601.09
635	10209511.56
636	10196637.8
637	10174879.03
638	10162787.75
639	10152101.57
640	10142870.82
641	10122021.93
642	10114893.31
643	10092603.29
644	10080012.11
645	10060281.51
646	10042793.45
647	10017123.14
648	9997027.724
649	9991403.701
650	9985803.696
651	9967835.904
652	9957620.986
653	9937101.408
654	9933070.383
655	9928122.738
656	9906699.845
657	9895392.755
658	9883803.638
659	9863622.202
660	9846702.097
661	9839499.672
662	9824783.945
663	9814571.312
664	9801403.81
665	9794461.261
666	9771134.327
667	9762332.161
668	9743660.938
669	9724929.119
670	9705358.247
671	9694823.356
672	9674814.866
673	9653827.431
674	9643738.939
675	9638531.309
676	9626284.785
677	9605656.712
678	9593929.152
679	9571976.117
680	9561803.312
681	9546566.839
682	9543729.247
683	9535702.347
684	9517518.267
685	9502103.407
686	9486671.514
687	9479467.973
688	9477473.265
689	9458946.299
690	9456032.672
691	9437460.157
692	9422825.91
693	9416169.379
694	9404254.618
695	9384056.165
696	9378758.081
697	9373858.768
698	9365644.43
699	9357503.293
700	9341391.426
701	9334773.853
702	9320951.945
703	9315740.957
704	9311596.396
705	9305594.168
706	9297913.125
707	9294461.327
708	9275914.514
709	9257307.469
710	9232679.902
711	9225768.941
712	9205207.783
713	9180618.077
714	9161141.31
715	9159810.864
716	9152581.122
717	9144555.373
718	9131640.021
719	9116227.183
720	9114354.892
721	9099796.427
722	9090006.693
723	9079452.682
724	9061287.065
725	9053829.703
726	9045055.055
727	9029490.176
728	9024531.557
729	9016953.793
730	9003055.493
731	8993161.793
732	8982321.487
733	8972392.297
734	8958608.044
735	8947946.098
736	8944065.078
737	8925046.136
738	8911506.203
739	8908407.609
740	8890495.236
741	8869737.892
742	8865214.477
743	8855262.556
744	8841376.876
745	8823045.798
746	8817102.973
747	8804316.066
748	8788139.147
749	8781682.183
750	8771100.685
751	8767002.053
752	8754223.392
753	8751761.398
754	8738434.525
755	8733775.104
756	8726779.174
757	8709780.792
758	8705676.206
759	8680033.081
760	8665369.618
761	8658032.756
762	8642542.735
763	8633681.61
764	8627394.526
765	8618500.522
766	8604451.59
767	8587409.213
768	8572006.997
769	8563636.029
770	8546416.64
771	8527219.581
772	8521960.007
773	8520676.791
774	8519300.337
775	8503877.659
776	8492454.377
777	8486654.508
778	8470478.814
779	8454782.692
780	8438105.096
781	8431475.61
782	8412870.317
783	8408891.023
784	8395753.508
785	8388930.421
786	8377820.278
787	8373406.729
788	8367165.475
789	8365894.233
790	8365580.465
791	8353160.889
792	8350016.909
793	8341646.182
794	8328310.742
795	8322797.691
796	8300012.995
797	8285448
798	8277036.712
799	8262727.205
800	8246569.301
801	8243373.848
802	8231220.243
803	8219810.366
804	8207944.983
805	8193697.358
806	8183810.339
807	8179992.18
808	8168839.843
809	8161357.761
810	8148410.62
811	8142466.528
812	8134848.959
813	8122447.696
814	8120789.742
815	8101216.706
816	8097534.127
817	8080864.165
818	8075839.428
819	8067842.145
820	8060249.949
821	8043520.648
822	8033912.487
823	8018043.902
824	8002187.879
825	7981966.795
826	7967322.723
827	7960874.984
828	7947375.567
829	7932745.341
830	7919303.83
831	7914744.58
832	7906926.151
833	7895845.399
834	7882664.895
835	7879447.921
836	7867080.793
837	7856129.327
838	7852044.58
839	7836731.999
840	7827097.535
841	7808723.543
842	7795731.253
843	7789812.272
844	7779493.739
845	7771883.559
846	7759061.646
847	7749689.574
848	7733263.121
849	7724702.177
850	7722710.835
851	7709333.008
852	7705781.814
853	7698812.119
854	7685678.549
855	7678380.524
856	7674973.482
857	7666163.197
858	7657704.829
859	7651625.298
860	7645889.296
861	7636082.063
862	7627690.08
863	7625139.318
864	7620070.605
865	7606546.892
866	7597959.627
867	7585838.159
868	7574033.62
869	7560384.839
870	7554466.3
871	7550264.249
872	7548173.143
873	7542046.689
874	7528528.374
875	7521619.008
876	7513703.227
877	7492348.276
878	7484353.63
879	7475380.9
880	7473871.043
881	7460794.284
882	7455301.199
883	7452464.363
884	7447034.595
885	7438089.553
886	7426979.841
887	7419619.834
888	7406571.437
889	7400603.974
890	7393330.663
891	7390346.909
892	7379570.482
893	7366085.102
894	7361276.632
895	7358214.118
896	7337329.681
897	7332139.264
898	7319461.987
899	7317069.744
900	7314081.733
901	7307755.064
902	7304974.97
903	7291689.1
904	7278194.765
905	7266489.98
906	7261040.499
907	7254135.806
908	7247473.129
909	7237862.142
910	7225170.607
911	7211924.527
912	7200082.993
913	7196849.447
914	7184948.32
915	7168952.532
916	7159387.022
917	7146228.384
918	7140746.19
919	7137334.631
920	7133613.807
921	7124751.959
922	7116696.804
923	7109481.209
924	7106026.182
925	7095030.844
926	7083116.733
927	7076748.68
928	7065914.652
929	7060995.334
930	7049264.156
931	7036750.09
932	7028731.765
933	7020976.854
934	7015451.147
935	7007103.813
936	6996370.881
937	6992052.302
938	6978941.418
939	6966077.34
940	6957678.661
941	6949920.83
942	6947550.182
943	6945868.641
944	6936799.527
945	6931968.281
946	6920395.681
947	6907697.662
948	6897347.159
949	6888375.763
950	6877034.052
951	6875970.061
952	6864403.893
953	6855400.543
954	6848818.537
955	6846133.386
956	6833692.274
957	6824690.951
958	6820403.604
959	6807051.409
960	6804552.961
961	6799610.572
962	6789960.352
963	6778841.729
964	6769533.672
965	6759072.755
966	6751476.564
967	6739528.01
968	6736962.405
969	6731321.45
970	6729073.83
971	6721282.436
972	6712800.5
973	6704778.7
974	6695451.094
975	6692086.514
976	6682428.186
977	6681219.892
978	6674761.218
979	6664702.459
980	6657152.679
981	6650787.153
982	6641925.064
983	6634791.733
984	6626091.617
985	6624217.073
986	6614586.263
987	6607005.756
988	6589236.511
989	6578172.224
990	6565906.149
991	6563416.93
992	6547962.288
993	6544026.698
994	6539065.279
995	6532226.455
996	6521597.011
997	6512547.477
998	6507264.198
999	6499235.407
